,Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T [K],pH ,Keq,Km,Enthalpy [kJ / mol],solutes [mol / dm^3],solutes [mol / kg],Ionic strength [mol / kg],Ionic strength [mol / dm^3],Experimental conditions
391,nan,nan,nan,nan,?,nan,298.15,5,5.66,nan,nan,nan,nan,nan,0.05,nan
392,nan,nan,nan,nan,?,nan,298.15,5.05,4.66,nan,nan,nan,nan,nan,0.05,nan
393,nan,nan,nan,nan,?,nan,298.15,6,4.55,nan,nan,nan,nan,nan,0.05,nan
394,nan,nan,nan,nan,?,nan,298.15,6.01,4.42,nan,nan,nan,nan,nan,0.05,nan
395,nan,nan,nan,nan,?,nan,298.15,6.06,4.47,nan,nan,nan,nan,nan,0.05,nan
396,nan,nan,nan,nan,phosphate,nan,298.15,7.3,4.28,nan,nan,nan,nan,nan,0.0011,nan
397,nan,nan,nan,nan,phosphate,nan,298.15,7.3,4.37,nan,nan,nan,nan,nan,0.01,nan
398,nan,nan,nan,nan,phosphate,nan,298.15,7.3,4.44,nan,nan,nan,nan,nan,0.049,nan
399,nan,nan,nan,nan,phosphate,nan,298.15,7.3,4.59,nan,nan,nan,nan,nan,0.1,nan
400,nan,nan,nan,nan,phosphate,nan,298.15,7.3,4.87,nan,nan,nan,nan,nan,0.25,nan
401,nan,nan,nan,nan,?,nan,298.15,7.99,4.31,nan,nan,nan,nan,nan,0.05,nan
402,nan,nan,nan,nan,?,nan,298.15,8,4.35,nan,nan,nan,nan,nan,0.05,nan
403,nan,nan,nan,nan,?,nan,298.15,9.01,4.43,nan,nan,nan,nan,nan,0.05,nan
404,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,303.6,7.3,4.69,nan,nan,nan,nan,nan,0.1,nan
405,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,303.6,7.3,4.85,nan,nan,nan,nan,nan,0.1,nan
406,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,304.1,7.3,4.68,nan,nan,nan,nan,nan,0.1,nan
407,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,304.1,7.3,4.74,nan,nan,nan,nan,nan,0.1,nan
408,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,307.3,7.3,3.97,nan,nan,nan,nan,nan,0.1,nan
409,nan,nan,nan,nan,acetate (0.20 mol dm-3),nan,307.5,4.91,5.94,nan,nan,nan,nan,nan,0.1,nan
410,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,307.5,7.3,3.93,nan,nan,nan,nan,nan,0.1,nan
411,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,307.5,7.3,4,nan,nan,nan,nan,nan,0.1,nan
412,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,307.6,7.3,3.97,nan,nan,nan,nan,nan,0.1,nan
413,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,307.7,7.3,4.01,nan,nan,nan,nan,nan,0.1,nan
414,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,308.3,7.3,3.72,nan,nan,nan,nan,nan,0.1,nan
415,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,308.3,7.3,3.81,nan,nan,nan,nan,nan,0.1,nan
416,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,313,7.3,3.11,nan,nan,nan,nan,nan,0.1,nan
417,nan,nan,nan,nan,phosphate (0.05 mol dm-3),nan,313,7.3,3.13,nan,nan,nan,nan,nan,0.1,nan
418,Bodansky O.; J. Biol. Chem.; 202 829 (1953).,53BOD_1351," 5.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium acetate + diethyl barbiturate, B,310.15,7.4,0.67,nan,nan,nan,nan,nan,nan,nan
419,Brink N.G.; Acta Chem. Scand.; 7 1081 (1953).,53BRI_159," 1.1.1.47                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.13 mol dm-3), C,294.15,7,3.1,nan,nan,nan,nan,nan,nan,nan
420,Brown D.H.; J. Biol. Chem.; 204 877 (1953).,53BRO_1399," 5.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay,nan, C,303.15,7.11,0.28,nan,nan,nan,nan,nan,nan,nan
421,nan,nan,nan,nan,nan,nan,303.15,7.53,0.24,nan,nan,nan,nan,nan,nan,nan
422,nan,nan,nan,nan,nan,nan,303.15,7.8,0.28,nan,nan,nan,nan,nan,nan,nan
423,Burton R.M.; Stadtman E.R.; J. Biol. Chem.; 202 873 (1953).,53BUR/STA_240," 1.2.1.10                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, imidazole (0.033 mol dm-3)+ HCl, B,298.15,7.3,2000,nan,nan,nan,nan,nan,nan,nan
424,nan,nan,nan,nan,nan,nan,298.15,7.8,8200,nan,nan,nan,nan,nan,nan,nan
425,nan,nan,nan,nan,nan,nan,298.15,7.89,7200,nan,nan,nan,nan,nan,nan,nan
426,Burton K.; Wilson T.H.; Biochem. J.; 54 86 (1953).,53BUR/WIL_129," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, glycine (0.0027 mol dm-3), A,298.15,7.55,2.75E-05,nan,nan,nan,nan,nan,nan,nan
427,nan,nan,nan,nan,nan,nan,298.15,8.08,8.18E-05,nan,nan,nan,nan,nan,nan,nan
428,nan,nan,nan,nan,nan,nan,298.15,8.19,1.06E-04,nan,nan,nan,nan,nan,nan,nan
429,nan,nan,nan,nan,nan,nan,298.15,8.63,3.60E-04,nan,nan,nan,nan,nan,nan,nan
430,nan,nan,nan,nan,nan,nan,298.15,8.75,4.46E-04,nan,nan,nan,nan,nan,nan,nan
431,nan,nan,nan,nan,nan,nan,298.15,8.78,4.35E-04,nan,nan,nan,nan,nan,nan,nan
432,nan,nan,nan,nan,nan,nan,298.15,8.81,4.66E-04,nan,nan,nan,nan,nan,nan,nan
433,nan,nan,nan,nan,nan,nan,298.15,8.83,5.04E-04,nan,nan,nan,nan,nan,nan,nan
434,nan,nan,nan,nan,nan,nan,298.15,8.83,5.31E-04,nan,nan,nan,nan,nan,nan,nan
435,nan,nan,nan,nan,nan,nan,298.15,8.85,6.37E-04,nan,nan,nan,nan,nan,nan,nan
436,nan,nan,nan,nan,nan,nan,298.15,8.86,5.23E-04,nan,nan,nan,nan,nan,nan,nan
437,nan,nan,nan,nan,nan,nan,298.15,8.89,5.23E-04,nan,nan,nan,nan,nan,nan,nan
438,nan,nan,nan,nan,nan,nan,298.15,8.87,5.17E-04,nan,nan,nan,nan,nan,nan,nan
439,nan,nan,nan,nan,nan,nan,298.15,8.87,5.30E-04,nan,nan,nan,nan,nan,nan,nan
440,nan,nan,nan,nan,nan,nan,298.15,8.95,6.92E-04,nan,nan,nan,nan,nan,nan,nan
441,Burton K.; Wilson T.H.; Biochem. J.; 54 86 (1953).,53BUR/WIL_30," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, pyrophosphate (0.0055 mol dm-3), A,298.15,7.03,0.0758,nan,nan,nan,nan,nan,nan,nan
442,nan,nan,nan,nan,nan,nan,298.15,7.18,0.109,nan,nan,nan,nan,nan,nan,nan
443,nan,nan,nan,nan,nan,nan,298.15,7.28,0.134,nan,nan,nan,nan,nan,nan,nan
444,nan,nan,nan,nan,nan,nan,298.15,7.28,0.136,nan,nan,nan,nan,nan,nan,nan
445,nan,nan,nan,nan,nan,nan,298.15,7.28,0.136,nan,nan,nan,nan,nan,nan,nan
446,nan,nan,nan,nan,nan,nan,298.15,7.3,0.129,nan,nan,nan,nan,nan,nan,nan
447,nan,nan,nan,nan,nan,nan,298.15,7.51,0.223,nan,nan,nan,nan,nan,nan,nan
448,nan,nan,nan,nan,nan,nan,298.15,7.51,0.238,nan,nan,nan,nan,nan,nan,nan
449,nan,nan,nan,nan,nan,nan,298.15,7.52,0.225,nan,nan,nan,nan,nan,nan,nan
450,nan,nan,nan,nan,nan,nan,298.15,7.52,0.23,nan,nan,nan,nan,nan,nan,nan
451,nan,nan,nan,nan,nan,nan,298.15,7.52,0.263,nan,nan,nan,nan,nan,nan,nan
452,nan,nan,nan,nan,nan,nan,298.15,7.52,0.282,nan,nan,nan,nan,nan,nan,nan
453,nan,nan,nan,nan,nan,nan,298.15,7.56,0.268,nan,nan,nan,nan,nan,nan,nan
454,nan,nan,nan,nan,nan,nan,298.15,7.63,0.251,nan,nan,nan,nan,nan,nan,nan
455,nan,nan,nan,nan,nan,nan,298.15,7.63,0.27,nan,nan,nan,nan,nan,nan,nan
456,nan,nan,nan,nan,nan,nan,298.15,7.64,0.291,nan,nan,nan,nan,nan,nan,nan
457,nan,nan,nan,nan,nan,nan,298.15,7.64,0.308,nan,nan,nan,nan,nan,nan,nan
458,nan,nan,nan,nan,nan,nan,298.15,7.68,0.328,nan,nan,nan,nan,nan,nan,nan
459,nan,nan,nan,nan,nan,nan,298.15,7.68,0.33,nan,nan,nan,nan,nan,nan,nan
460,nan,nan,nan,nan,nan,nan,298.15,7.68,0.337,nan,nan,nan,nan,nan,nan,nan
461,nan,nan,nan,nan,nan,nan,298.15,7.68,0.361,nan,nan,nan,nan,nan,nan,nan
462,nan,nan,nan,nan,nan,nan,298.15,8.71,5.76,nan,nan,nan,nan,nan,nan,nan
463,nan,nan,nan,nan,nan,nan,298.15,8.78,4.36,nan,nan,nan,nan,nan,nan,nan
464,nan,nan,nan,nan,nan,nan,298.15,8.82,5.32,nan,nan,nan,nan,nan,nan,nan
465,nan,nan,nan,nan,nan,nan,298.15,8.82,5.91,nan,nan,nan,nan,nan,nan,nan
466,nan,nan,nan,nan,nan,nan,298.15,8.83,4.71,nan,nan,nan,nan,nan,nan,nan
467,Burton K.; Wilson T.H.; Biochem. J.; 54 86 (1953).,53BUR/WIL_44," 1.1.1.8                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, veronal and pyrophosphate (0.003 mol dm-3), B,298.15,7.5,1.74E-04,nan,nan,nan,nan,nan,nan,nan
468,nan,nan,nan,nan,nan,nan,298.15,8,5.50E-04,nan,nan,nan,nan,nan,nan,nan
469,nan,nan,nan,nan,nan,nan,298.15,8.5,1.74E-03,nan,nan,nan,nan,nan,nan,nan
470,nan,nan,nan,nan,nan,nan,298.15,9,5.50E-03,nan,nan,nan,nan,nan,nan,nan
471,Cohen S.S.; J. Biol. Chem.; 201 71 (1953).,53COH_1294," 5.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, glycylglycine (0.1 mol dm-3), C,310.15,nan,~0.18,nan,nan,nan,nan,nan,nan,nan
472,Green I.; Brown J.R.C.; Mommaerts W.F.H.M.; J. Biol. Chem.; 205 493 (1953).,53GRE/BRO_634," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", chromatography,nan, C,300.15,6.7,0.45,nan,nan,nan,nan,nan,nan,nan
473,Harary I.; Korey S.R.; Ochoa S.; J. Biol. Chem.; 203 595 (1953).,53HAR/KOR_147," 1.1.1.40                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay; spectrophotometry,nan, B,297,7.4,0.051,nan,nan,nan,nan,nan,nan,nan
474,Hochster R.M.; Watson R.W.; J. Am. Chem. Soc.; 75 3284 (1953).,53HOC/WAT_1323," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis and paper chromatography, phosphate, C,300.15,7.5,0.19,nan,nan,nan,nan,nan,nan,nan
475,Jones M.E.; Fed. Proc. Fed. Am. Soc. Exp. Biol.; 12 708 (1953).,53JON_1432," 6.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and chemical analysis, Tris (0.16 mol dm-3), B,310.15,7.5,2.7,nan,nan,nan,nan,nan,nan,nan
476,Kaplan N.O.; Colowick S.P.; Neufeld E.F.; J. Biol. Chem.; 205 1 (1953).,53KAP/COL_309," 1.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, B,310.15,6,1.48,nan,nan,nan,nan,nan,nan,nan
477,nan,nan,nan,nan,nan,nan,310.15,6.5,1.43,nan,nan,nan,nan,nan,nan,nan
478,nan,nan,nan,nan,nan,nan,310.15,7.5,1.41,nan,nan,nan,nan,nan,nan,nan
479,Krebs H.A.; Biochem. J.; 54 78 (1953).,53KRE_1147," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and manometry, carbonate + bicarbonate, A,298.15,7.4,4.43,nan,nan,nan,nan,nan,nan,nan
480,Krebs H.A.; Biochem. J.; 54 78 (1953).,53KRE_1157," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and manometry, carbonate + bicarbonate, A,298.15,7.4,0.032,nan,nan,nan,nan,nan,nan,nan
481,Krebs H.A.; Biochem. J.; 54 78 (1953).,53KRE_1160," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and manometry, carbonate + bicarbonate, A,298.15,7.4,0.47,nan,nan,nan,nan,nan,nan,nan
482,Krebs H.A.; Biochem. J.; 54 78 (1953).,53KRE_1163," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry and manometry, carbonate + bicarbonate, A,298.15,7.4,14.7,nan,nan,nan,nan,nan,nan,nan
483,Krebs H.A.; Biochem. J.; 54 82 (1953).,53KRE2_498," 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", manometry, phosphate (0.033 mol dm-3), A,298.15,7.4,0.148,nan,nan,nan,nan,nan,nan,nan
484,Krebs H.A.; Biochem. J.; 54 82 (1953).,53KRE2_508," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", manometry, phosphate (0.25 mol dm-3), A,298.15,7.4,0.658,nan,nan,nan,nan,nan,nan,nan
485,Lynen F.; Ochoa S.; Biochim. Biophys. Acta; 12 299 (1953).,53LYN/OCH_116," 1.1.1.30                                                    (ENZYME |                                                 KEGG)                                                ",nan,nan, D,298.15,7,1.90E-03,nan,nan,nan,nan,nan,nan,nan
486,Lynen F.; Ochoa S.; Biochim. Biophys. Acta; 12 299 (1953).,53LYN/OCH_404," 2.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,298.15,8.1,2.00E-05,nan,nan,nan,nan,nan,nan,nan
487,nan,nan,nan,nan,nan,nan,298.15,9,1.00E-04,nan,nan,nan,nan,nan,nan,nan
488,Lynen F.; Ochoa S.; Biochim. Biophys. Acta; 12 299 (1953).,53LYN/OCH_717," 2.8.3.5                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,298.15,8.1,0.01,nan,nan,nan,nan,nan,nan,nan
489,Mahler H.R.; Wakil S.J.; Bock R.M.; J. Biol. Chem.; 204 453 (1953).,53MAH/WAK_1436," 6.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, glycylglycine (0.002 mol dm-3), B,311.15,8,1.11,nan,nan,nan,nan,nan,nan,nan
490,Massey V.; Biochem. J.; 53 72 (1953).,53MAS_1148," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.067 mol dm-3), A,275.8,7.3,6.31,nan,nan,nan,nan,nan,nan,nan
491,nan,nan,nan,nan,nan,nan,276.9,6.35,6.31,nan,nan,nan,nan,nan,nan,nan
492,nan,nan,nan,nan,nan,nan,277,6.35,6.31,nan,nan,nan,nan,nan,nan,nan
493,nan,nan,nan,nan,nan,nan,277.2,6.35,6.31,nan,nan,nan,nan,nan,nan,nan
494,nan,nan,nan,nan,nan,nan,282.3,6.35,5.68,nan,nan,nan,nan,nan,nan,nan
495,nan,nan,nan,nan,nan,nan,283.5,7.3,5.5,nan,nan,nan,nan,nan,nan,nan
496,nan,nan,nan,nan,nan,nan,284,6.35,5.5,nan,nan,nan,nan,nan,nan,nan
497,nan,nan,nan,nan,nan,nan,286.1,6.35,5.3,nan,nan,nan,nan,nan,nan,nan
498,nan,nan,nan,nan,nan,nan,288.2,6.35,5.01,nan,nan,nan,nan,nan,nan,nan
499,nan,nan,nan,nan,nan,nan,288.2,7.3,4.86,nan,nan,nan,nan,nan,nan,nan
500,nan,nan,nan,nan,nan,nan,291.9,6.35,4.57,nan,nan,nan,nan,nan,nan,nan
501,nan,nan,nan,nan,nan,nan,292.6,7.3,4.47,nan,nan,nan,nan,nan,nan,nan
502,nan,nan,nan,nan,nan,nan,292.8,6.35,4.57,nan,nan,nan,nan,nan,nan,nan
503,nan,nan,nan,nan,nan,nan,296.7,6.35,4.21,nan,nan,nan,nan,nan,nan,nan
504,nan,nan,nan,nan,nan,nan,298.1,7.3,3.98,nan,nan,nan,nan,nan,nan,nan
505,nan,nan,nan,nan,nan,nan,298.7,6.35,3.98,nan,nan,nan,nan,nan,nan,nan
506,nan,nan,nan,nan,nan,nan,299.2,6.35,4.01,nan,nan,nan,nan,nan,nan,nan
507,nan,nan,nan,nan,nan,nan,302.5,7.3,3.63,nan,nan,nan,nan,nan,nan,nan
508,nan,nan,nan,nan,nan,nan,303,6.35,3.63,nan,nan,nan,nan,nan,nan,nan
509,nan,nan,nan,nan,nan,nan,303,6.35,3.78,nan,nan,nan,nan,nan,nan,nan
510,nan,nan,nan,nan,nan,nan,307.8,7.3,3.21,nan,nan,nan,nan,nan,nan,nan
511,nan,nan,nan,nan,nan,nan,309.9,6.35,3.21,nan,nan,nan,nan,nan,nan,nan
512,nan,nan,nan,nan,nan,nan,310.7,6.35,3.09,nan,nan,nan,nan,nan,nan,nan
513,nan,nan,nan,nan,nan,nan,311.7,6.35,3.09,nan,nan,nan,nan,nan,nan,nan
514,Meyerhof O.; Shatas R.; Kaplan A.; Biochim. Biophys. Acta; 12 121 (1953).,53MEY/SHA_1069," 3.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium maleate (0.03 mol dm-3), B,306.15,6.95,nan,nan,-80.8,nan,nan,nan,nan,nan
515,Mitsuhashi S.; Lampen J.O.; J. Biol. Chem.; 204 1011 (1953).,53MIT/LAM_1324," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and spectrophotometry, phosphate (0.05 mol dm-3), C,310.15,7,0.16,nan,nan,nan,nan,nan,nan,nan
516,Nisonoff A.; Barnes F.W. Jr.; Enns T.; J. Biol. Chem.; 204 957 (1953).,53NIS/BAR_499," 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.033 mol dm-3), B,310.65,7.4,0.13,nan,nan,nan,nan,nan,nan,nan
517,Olson J.A; Anfinsen C.B.; J. Biol. Chem.; 202 841 (1953).,53OLS/ANF_280," 1.4.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.2 mol dm-3), B,300.15,6.5,4.60E-07,nan,nan,nan,nan,nan,nan,nan
518,nan,nan,nan,nan,nan,nan,300.15,7,1.50E-06,nan,nan,nan,nan,nan,nan,nan
519,nan,nan,nan,nan,nan,nan,300.15,7.5,4.60E-06,nan,nan,nan,nan,nan,nan,nan
520,Olson J.A; Anfinsen C.B.; J. Biol. Chem.; 202 841 (1953).,53OLS/ANF_281," 1.4.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.2 mol dm-3), B,299.15,7,9.70E-07,nan,nan,nan,nan,nan,nan,nan
521,nan,nan,nan,nan,nan,nan,299.15,7.5,3.10E-06,nan,nan,nan,nan,nan,nan,nan
522,nan,nan,nan,nan,nan,nan,299.15,8,9.70E-06,nan,nan,nan,nan,nan,nan,nan
523,Olson J.A; Anfinsen C.B.; J. Biol. Chem.; 202 841 (1953).,53OLS/ANF_282," 1.4.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.2 mol dm-3), B,300.15,6.5,3.10E-07,nan,nan,nan,nan,nan,nan,nan
524,nan,nan,nan,nan,nan,nan,300.15,7,9.90E-07,nan,nan,nan,nan,nan,nan,nan
525,nan,nan,nan,nan,nan,nan,300.15,7.5,3.10E-06,nan,nan,nan,nan,nan,nan,nan
526,Ratner S.; Anslow W.P. Jr.; Petrack B.; J. Biol. Chem.; 204 115 (1953).,53RAT/ANS_1222," 4.3.2.1                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, potassium phosphate (0.05 mol dm-3), B,311.15,7.5,0.0114,nan,nan,nan,nan,nan,nan,nan
527,Siekevitz P.; Potter V.R.; J. Biol. Chem.; 200 187 (1953).,53SIE/POT_635," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,nan, C,303.15,nan,1,nan,nan,nan,nan,nan,nan,nan
528,Stern J.R.; Coon M.J.; del Campillo A.; J. Am. Chem. Soc.; 75 1517 (1953).,53STE/COO_405," 2.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometric,nan, C,298.15,8.1,2.00E-05,nan,nan,nan,nan,nan,nan,nan
529,Stern J.R.; Coon M.J.; del Campillo A.; J. Am. Chem. Soc.; 75 1517 (1953).,53STE/COO_718," 2.8.3.5                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometric,nan, C,298.15,8.1,0.01,nan,nan,nan,nan,nan,nan,nan
530,Strecker H.J.; Arch. Biochem. Biophys.; 46 128 (1953).,53STR_274," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.045 mol dm-3) and pyrophosphate (0.045 mol dm-3), B,303.65,6.37,3.47E-07,nan,nan,nan,nan,nan,nan,nan
531,nan,nan,nan,nan,pyrophosphate,nan,303.65,6.74,1.09E-06,nan,nan,nan,nan,nan,nan,nan
532,nan,nan,nan,nan,Tris,nan,303.65,7.02,1.47E-06,nan,nan,nan,nan,nan,nan,nan
533,nan,nan,nan,nan,Tris,nan,303.65,7.08,1.06E-06,nan,nan,nan,nan,nan,nan,nan
534,nan,nan,nan,nan,pyrophosphate,nan,303.65,7.38,4.17E-06,nan,nan,nan,nan,nan,nan,nan
535,nan,nan,nan,nan,Tris,nan,303.65,7.55,4.08E-06,nan,nan,nan,nan,nan,nan,nan
536,nan,nan,nan,nan,Tris,nan,303.65,7.69,2.30E-06,nan,nan,nan,nan,nan,nan,nan
537,nan,nan,nan,nan,pyrophosphate,nan,303.65,7.6,9.95E-06,nan,nan,nan,nan,nan,nan,nan
538,nan,nan,nan,nan,pyrophosphate,nan,303.65,7.89,6.44E-06,nan,nan,nan,nan,nan,nan,nan
539,nan,nan,nan,nan,pyrophosphate,nan,303.65,8.17,7.20E-05,nan,nan,nan,nan,nan,nan,nan
540,nan,nan,nan,nan,Tris,nan,303.65,8.25,6.21E-05,nan,nan,nan,nan,nan,nan,nan
541,nan,nan,nan,nan,Tris,nan,303.65,8.27,1.88E-05,nan,nan,nan,nan,nan,nan,nan
542,nan,nan,nan,nan,pyrophosphate,nan,303.65,8.32,9.67E-05,nan,nan,nan,nan,nan,nan,nan
543,Sturtevant J.M.; J. Am. Chem. Soc.; 75 2016 (1953).,53STU_954," 3.4.14.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium phosphate (0.05 mol dm-3) and/or sodium acetate (0.05 mol dm-3)  +  sodium phosphate + sodium acetate, A,298.15,4.69,nan,nan,-24.6,nan,nan,nan,nan,nan
544,nan,nan,nan,nan,sodium phosphate,nan,298.15,4.85,nan,nan,-26.3,nan,nan,nan,nan,nan
545,nan,nan,nan,nan,sodium phosphate,nan,298.15,5.09,nan,nan,-26.4,nan,nan,nan,nan,nan
546,nan,nan,nan,nan,sodium phosphate,nan,298.15,5.11,nan,nan,-27.4,nan,nan,nan,nan,nan
547,nan,nan,nan,nan,sodium phosphate,nan,298.15,5.65,nan,nan,-25.6,nan,nan,nan,nan,nan
548,Sturtevant J.M.; J. Am. Chem. Soc.; 75 2016 (1953).,53STU_955," 3.4.17.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium phosphate (0.05 mol dm-3), A,298.15,6.46,nan,nan,-8.7,nan,nan,nan,nan,nan
549,nan,nan,nan,nan,nan,nan,298.15,6.77,nan,nan,-8.7,nan,nan,nan,nan,nan
550,nan,nan,nan,nan,nan,nan,298.15,6.81,nan,nan,-8.6,nan,nan,nan,nan,nan
551,nan,nan,nan,nan,nan,nan,298.15,7.24,nan,nan,-9.2,nan,nan,nan,nan,nan
552,nan,nan,nan,nan,nan,nan,298.15,7.44,nan,nan,-9.1,nan,nan,nan,nan,nan
553,nan,nan,nan,nan,nan,nan,298.15,7.45,nan,nan,-8.9,nan,nan,nan,nan,nan
554,Talalay P.; Dobson M.M.; J. Biol. Chem.; 205 823 (1953).,53TAL/DOB_178," 1.1.1.51                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, orthophosphate (0.03 mol dm-3) and pyrophosphate (0.03 mol dm-3), B,298.65,6.1,0.032,nan,nan,nan,nan,nan,nan,nan
555,nan,nan,nan,nan,nan,nan,298.65,7.6,1.4,nan,nan,nan,nan,nan,nan,nan
556,nan,nan,nan,nan,nan,nan,298.65,8.1,4,nan,nan,nan,nan,nan,nan,nan
557,nan,nan,nan,nan,nan,nan,298.65,9.2,89,nan,nan,nan,nan,nan,nan,nan
558,Axelrod B.; Jang R.; J. Biol. Chem.; 209 847 (1954).,54AXE/JAN_1331," 5.3.1.6                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, Tris (0.1 mol dm-3), B,273.15,7,0.164,nan,nan,nan,nan,nan,nan,nan
559,nan,nan,nan,nan,nan,nan,298.65,7,0.264,nan,nan,nan,nan,nan,nan,nan
560,nan,nan,nan,nan,nan,nan,310.15,7,0.323,nan,nan,nan,nan,nan,nan,nan
561,Berg P.; Joklik W.K.; J. Biol. Chem.; 210 657 (1954).,54BER/JOK_665," 2.7.4.6                                                    (ENZYME |                                                 KEGG)                                                ", radioactive labelling and spectrophotometry, sodium succinate (0.02 mol dm-3), C,310.15,6,1,nan,nan,nan,nan,nan,nan,nan
562,Bowen W.J.; Kerwin T.D.; Arch. Biochem. Biophys.; 49 149 (1954).,54BOW/KER_636," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay, sodium succinate (0.04 mol dm-3), C,274.15,6,0.38,nan,nan,0.0 MgCl2 & 0.0 MgCl2,nan,nan,nan,nan
563,nan,nan,nan,nan,nan,nan,293.15,6,0.31,nan,nan,0.001 MgCl2 & 0.001 MgCl2,nan,nan,nan,nan
564,nan,nan,nan,nan,nan,nan,293.15,6,0.39,nan,nan,0.0 MgCl2 & 0.0 MgCl2,nan,nan,nan,nan
565,nan,nan,nan,nan,nan,nan,313.15,6,0.48,nan,nan,0.0 MgCl2 & 0.0 MgCl2,nan,nan,nan,nan
566,Charlampous F.C.; J. Biol. Chem.; 211 249 (1954).,54CHA_1086," 4.1.2.2                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity, NH4OH, B,301.15,7.4,0.00043,nan,nan,nan,nan,nan,nan,nan
567,Ginodman L.M.; Biokhimiya; 19 666 (1954).,54GIN_771," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity,nan, B,310.15,8.2,55,nan,nan,nan,nan,nan,nan,nan
568,Ginodman L.M.; Biokhimiya; 19 666 (1954).,54GIN_779," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity, barbital + acetate, B,310.15,6.7,40,nan,nan,nan,nan,nan,nan,nan
569,nan,nan,nan,nan,nan,nan,310.15,7.5,55,nan,nan,nan,nan,nan,nan,nan
570,nan,nan,nan,nan,nan,nan,310.15,7.8,46,nan,nan,nan,nan,nan,nan,nan
571,nan,nan,nan,nan,nan,nan,310.15,8.3,24,nan,nan,nan,nan,nan,nan,nan
572,nan,nan,nan,nan,nan,nan,310.15,8.8,36,nan,nan,nan,nan,nan,nan,nan
