,Unnamed: 0,Enzyme,Reaction,Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T [K],pH ,Keq,Km,Enthalpy [kJ / mol],solutes [mol / dm^3],solutes [mol / kg],Ionic strength [mol / kg],Ionic strength [mol / dm^3],Experimental conditions
52,52,nan,nan,,,,,,,313.15,7,0.002,,,0.012 salt & 0.012 salt,,,,MgCl2
53,53,nan,nan,,,,,,,313.15,7,0.0014,,,0.031 salt & 0.031 salt,,,,MgCl2
54,54,nan,nan,,,,,,,313.15,7,0.0064,,,-- salt & -- salt,,,,
55,55,nan,nan,,,,,,,333.15,7,0.015,,,0.0012 salt & 0.0012 salt,,,,MgCl2
56,56,nan,nan,,,,,,,333.15,7,0.0082,,,0.006 salt & 0.006 salt,,,,MgCl2
57,57,nan,nan,,,,,,,333.15,7,0.0056,,,0.012 salt & 0.012 salt,,,,MgCl2
58,58,nan,nan,,,,,,,333.15,7,0.0046,,,0.031 salt & 0.031 salt,,,,MgCl2
59,59,nan,nan,,,,,,,333.15,7,0.0012,,,0.12 salt & 0.12 salt,,,,MgCl2
60,60,nan,nan,,,,,,,333.15,7,0.019,,,-- salt & -- salt,,,,
61,61, alkaline phosphatase, phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),von Euler H.; Adler E.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 241 239 (1936).,36EUL/ADL_7," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.4,1.30E-05,,,,,,,
62,62,nan,nan,,,,,,,298.15,7,5.30E-05,,,,,,,
63,63,nan,nan,,,,,,,298.15,7.7,0.00013,,,,,,,
64,64, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_589," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,0.13,,,,,,,
65,65,nan,nan,,,,,,,293.15,8.8,0.48,,,,,,,
66,66, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_614," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, carbonate + bicarbonate, C,293.15,7.7,0.323,,,,,,,
67,67, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Meyerhof O.; Lohmann K.; Schuster Ph.; Biochem. Z.; 286 301 (1936).,36MEY/LOH_1099," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate, C,273.15,,0.0021,,,,,,,
68,68,nan,nan,,,,,,,293.15,,0.0029,,,,,,,
69,69,nan,nan,,,,,,,313.15,,0.0067,,,,,,,
70,70, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Meyerhof O.; Schulz W.; Biochem. Z. 289 87 (1936).,36MEY/SCH_1096," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, C,298.15,,,,-60.2,,,,,
71,71, arginine kinase, ATP(aq) + L-arginine(aq) = ADP(aq) + NÏ‰-phospho-L-arginine(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,8.63,,,,,,,
72,72,nan,nan,,,,,,,303.15,,9.48,,,,,,,
73,73, fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_915," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,18.5,,,,,,,
74,74,nan,nan,,,,,,,303.15,,21.1,,,,,,,
75,75, fructose-biphosphate aldolase, D-fructose 1-phosphate(aq) = D-glyceraldehyde(aq) + glycerone phosphate(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_917," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,7.08,,,,,,,
76,76,nan,nan,,,,,,,303.15,,7.88,,,,,,,
77,77, _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_922," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,4.5,,,,,,,
78,78,nan,nan,,,,,,,303.15,,4.73,,,,,,,
79,79, _-glucosidase, 2-butyl Î²-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_923," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,11.2,,,,,,,
80,80,nan,nan,,,,,,,303.15,,11.9,,,,,,,
81,81, _-glucosidase, ethyl Î²-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_924," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,45,,,,,,,
82,82,nan,nan,,,,,,,303.15,,57,,,,,,,
83,83, _-glucosidase, methyl Î²-D-glucopyranoside(aq) + H2O(l) = methanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_925," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,8.92,,,,,,,
84,84,nan,nan,,,,,,,303.15,,9.98,,,,,,,
85,85, _-glucosidase, 2-methyl-1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_926," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,277.15,,19,,,,,,,
86,86,nan,nan,,,,,,,303.15,,22.7,,,,,,,
87,87, _-glucosidase, 2-methyl-2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-2-propanol(aq) + D-glucose(aq),Adler E.; Sreenivasaya M.; Hoppe-Seyler's Z. Physiol. Chem.; 249 24 (1937).,37ADL/SRE_8," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, D,298.15,6.05,6.00E-06,,,,,,,
88,88,nan,nan,,,,,,,298.15,7.25,7.70E-05,,,,,,,
89,89,nan,nan,,,,,,,298.15,8,1.20E-05,,,,,,,
90,90, _-glucosidase, 1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-propanol(aq) + D-glucose(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_127," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.46,2.30E-05,,,,,,,
91,91,nan,nan,,,,,,,298.15,7.54,3.50E-05,,,,,,,
92,92,nan,nan,,,,,,,298.15,7.71,5.00E-05,,,,,,,
93,93,nan,nan,,,,,,,298.15,7.85,0.00011,,,,,,,
94,94,nan,nan,,,,,,,298.15,8.33,0.0002,,,,,,,
95,95,nan,nan,,,,,,,298.15,8.44,0.0005,,,,,,,
96,96,nan,nan,,,,,,,298.15,8.49,0.00063,,,,,,,
97,97, _-glucosidase, 2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_95," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.58,7.70E-05,,,,,,,
98,98,nan,nan,,,,,,,298.15,7.61,8.30E-05,,,,,,,
99,99,nan,nan,,,,,,,298.15,7.61,0.00051,,,,,,,
100,100,nan,nan,,,,,,,298.15,8.38,0.0011,,,,,,,
101,101,nan,nan,,,,,,,298.15,8.51,0.0014,,,,,,,
102,102,nan,nan,,,,,,,298.15,8.82,0.002,,,,,,,
103,103,nan,nan,,,,,,,298.15,8.83,0.0025,,,,,,,
104,104, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 249 1 (1937).,37EUL/ADL2_42," 1.1.1.8                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.9,1.60E-05,,,,,,,
105,105,nan,nan,,,,,,,298.15,8.1,0.00059,,,,,,,
106,106,nan,nan,,,,,,,298.15,7.6,0.0003,,,,,,,
107,107, malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 245 217 (1937).,37EUL/ADL3_96," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,7.4,7.10E-06,,,,,,,
108,108,nan,nan,,,,,,,298.15,7.4,9.60E-06,,,,,,,
109,109,nan,nan,,,,,,,298.15,7.9,3.10E-05,,,,,,,
110,110,nan,nan,,,,,,,298.15,8.1,5.00E-05,,,,,,,
111,111,nan,nan,,,,,,,298.15,8.2,0.0002,,,,,,,
112,112,nan,nan,,,,,,,298.15,8.3,0.00029,,,,,,,
113,113,nan,nan,,,,,,,298.15,8.35,0.00029,,,,,,,
114,114,nan,nan,,,,,,,298.15,8.7,0.00015,,,,,,,
115,115,nan,nan,,,,,,,298.15,8.9,0.00033,,,,,,,
116,116, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Negelein E.; Wulff H.-J.; Biochem. Z.; 293 351 (1937).,37NEG/WUL_9," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,293.15,7.9,0.000741,,,,,,,
117,117, glycerol-3-phosphate dehydrogenase (NAD+), sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Das N.B.; Hoppe-Seyler's Z. Physiol. Chem.; 254 61 (1938).,38EUL/ADL_273," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, C,298.15,6.05,3.90E-11,,,,,,,
118,118,nan,nan,,,,,,,298.15,6.63,1.30E-09,,,,,,,
119,119,nan,nan,,,,,,,298.15,7.01,1.30E-09,,,,,,,
120,120,nan,nan,,,,,,,298.15,7.26,7.60E-09,,,,,,,
121,121,nan,nan,,,,,,,298.15,7.36,6.50E-09,,,,,,,
122,122,nan,nan,,,,,,,298.15,7.39,9.40E-09,,,,,,,
123,123,nan,nan,,,,,,,298.15,7.4,7.90E-09,,,,,,,
124,124,nan,nan,,,,,,,298.15,7.43,1.50E-08,,,,,,,
125,125,nan,nan,,,,,,,298.15,7.45,1.70E-08,,,,,,,
126,126,nan,nan,,,,,,,298.15,7.57,7.70E-09,,,,,,,
127,127,nan,nan,,,,,,,298.15,7.6,2.00E-08,,,,,,,
128,128,nan,nan,,,,,,,298.15,7.66,1.10E-08,,,,,,,
129,129,nan,nan,,,,,,,298.15,7.82,2.40E-08,,,,,,,
130,130,nan,nan,,,,,,,298.15,8.01,3.60E-08,,,,,,,
131,131,nan,nan,,,,,,,298.15,8.05,7.00E-08,,,,,,,
132,132, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 297 60 (1938).,38MEY/SCH_1387," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,, C,273.15,,10.8,,,,,,,
133,133,nan,nan,,,,,,,293.15,,9.5,,,,,,,
134,134,nan,nan,,,,,,,310.15,,7.9,,,,,,,
135,135,nan,nan,,,,,,,333.15,,7.6,,,,,,,
136,136, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_10," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,298.15,6.3,2.60E-05,,,,,,,
137,137,nan,nan,,,,,,,298.15,6.85,8.80E-05,,,,,,,
138,138,nan,nan,,,,,,,298.15,7.15,0.00019,,,,,,,
139,139,nan,nan,,,,,,,298.15,7.34,0.0003,,,,,,,
140,140,nan,nan,,,,,,,298.15,7.77,0.0008,,,,,,,
141,141,nan,nan,,,,,,,298.15,8.17,0.0022,,,,,,,
142,142, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_23," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,298.15,6.39,9.10E-06,,,,,,,
143,143,nan,nan,,,,,,,298.15,6.6,3.00E-05,,,,,,,
144,144,nan,nan,,,,,,,298.15,6.85,5.10E-05,,,,,,,
145,145,nan,nan,,,,,,,298.15,7.18,0.00015,,,,,,,
146,146,nan,nan,,,,,,,298.15,7.31,0.00023,,,,,,,
147,147,nan,nan,,,,,,,298.15,7.69,0.00056,,,,,,,
148,148,nan,nan,,,,,,,298.15,8.06,0.0011,,,,,,,
149,149, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Cohen P.P.; Biochem. J.; 33 1478 (1939).,39COH_504," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ",, phosphate (0.1 mol dm-3), C,313.15,7.4,1,,,,,,,
150,150, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Cohen P.P.; J. Biol. Chem.; 136 585 (1940).,40COH_495," 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ",, phosphate, C,311.15,7.4,0.25,,,,,,,
151,151, alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq),Herbert D.; Gordon H.; Subrahmanyan V.; Green D.E.; Biochem. J.; 34 1108 (1940).,40HER/GOR_1090," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ",, borate (0.8 mol dm-3), C,301.15,7.2,6.00E-05,,,,,,,
152,152,nan,nan,,,,,,,311.15,7.2,0.000119,,,,,,,
153,153,nan,nan,,,,,,,311.15,7.33,0.000122,,,,,,,
154,154,nan,nan,,,,,,,321.15,7.2,0.000234,,,,,,,
155,155, alanine transaminase, L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),Krebs H.A.; Smyth D.H.; Evans E.A. Jr.; Biochem. J.; 34 1041 (1940).,40KRE/SMY_1143," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", manometry, phosphate (0.1 mol dm-3), B,293.15,7.4,4.57,,,,,,,
156,156,nan,nan,,,,,,,303.15,7.4,3.54,,,,,,,
157,157,nan,nan,,,,,,,313.15,7.4,3.17,,,,,,,
158,158,nan,nan,,,,,,,323.15,7.4,2.65,,,,,,,
159,159, aspartate transaminase, L-aspartate(aq) + 2-oxoglutarate(aq) = oxaloacetate(aq) + L-glutamate(aq),Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1103," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, glycine + NaOH, B,278.15,9,0.000435,,,,,,,
160,160,nan,nan,,,,,,,298.15,9,0.00182,,,,,,,
161,161,nan,nan,,,,,,,313.15,9,0.00637,,,,,,,
162,162, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1291," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, glycine + NaOH, B,278.15,9,0.000435,,,,,,,
163,163, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Warburg O.; Christian W.; Biochem. Z.; 310 384 (1941).,41WAR/CHR_1171," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, bicarbonate and phosphate, C,293.15,7.34,1.43,,,,,,,
164,164, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Colowick S.P.; Sutherland E.W.; J. Biol. Chem.; 144 423 (1942).,42COL/SUT_1401," 5.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ",, barbital (0.025 mol dm-3), C,293.15,~7.5,19.8,,,,,,,
165,165,nan,nan,,,,,,,303.15,~7.5,17.2,,,,,,,
166,166,nan,nan,,,,,,,313.15,~7.5,16.2,,,,,,,
167,167, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Lenard P.; Straub F.B.; Stud. Inst. Med. Chem. Univ. Szeged; 2 59 (1942).,42LEN/STR_505," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, phosphate (0.1 mol dm-3), C,310.15,7.3,0.7,,,,,,,
168,168, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Banga I.; Stud. Inst. Med. Chem. Univ. Szeged; 3 59 (1943).,43BAN_590," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis, borate and barbital acetate, C,311.15,7.5,0.0023,,,,,,,
169,169,nan,nan,,,,,borate,,311.15,7.6,0.0049,,,,,,,
170,170,nan,nan,,,,,borate,,311.15,7.8,0.0239,,,,,,,
171,171,nan,nan,,,,,borate,,311.15,8.2,0.0925,,,,,,,
172,172,nan,nan,,,,,borate,,311.15,8.5,0.191,,,,,,,
173,173,nan,nan,,,,,barbital,,311.15,8.55,0.039,,,,,,,
174,174,nan,nan,,,,,borate,,311.15,9.05,0.365,,,,,,,
175,175,nan,nan,,,,,borate,,311.15,9.5,0.138,,,,,,,
176,176,nan,nan,,,,,borate,,311.15,9.7,0.0061,,,,,,,
177,177, phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) =Î±-D-glucose 6-phosphate(aq),Doudoroff M.; J. Biol. Chem.; 151 351 (1943).,43DOU_415," 2.4.1.7                                                    (ENZYME |                                                 KEGG)                                                ",, phosphate and (carbonate + bicarbonate), C,303.15,5.8,11,,,,,,,
178,178,nan,nan,,,,,,,303.15,6.6,20,,,,,,,
