Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T(K),pH ,K<sub>c</sub>' ,c(Mg)tot(mol dm<sup>-3</sup>),Km' ,"c(Tris,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(kJ.mol<sup>-1</sup>),c(MgCl2) ,p(MPa),"c(glycerol,mol dm<sup>-3</sup>)",buffer ,"c(CaCl2,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/(n<sup>-1</sup>,"ë«<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",c(nucleotide)tot(mol dm<sup>-3</sup>),"m(MgCl2,mol.kg<sup>-1</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(NaCl,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),pMg ,ë«<sub>r</sub>H(cal) ,I<sub>c</sub>(kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>m</sub>(mol.kg<sup>-1</sup>),"ë«<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",buffer(mol dm<sup>-3</sup>),"c(salt,mol dm<sup>-3</sup>)","c(KCl,mol dm<sup>-3</sup>)",protein ,media ,ë«<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),buffer and/or salt ,salt ,"c(MgCl2,mol dm<sup>-3</sup>)","c(total substrate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),added solute ,I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>c</sub> ,kJ.mol<sup>-1</sup>),"m(KCl,mol.kg<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(MgSO4,mol dm<sup>-3</sup>)",cosolvent ,"c(phosphate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H?(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,solvent ,"c(MnCl2,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),K ,K' 
Wood H.G.; Davis J.J.; Lochm|ller H.; J. Biol. Chem.; 241 5692 (1966).,66WOO/DAV_1083," 4.1.1.32                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and enzymatic assay, Tris (0.010 mol dm-3) + HCl, A,298.15,7.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.0025,,,
,,,,,,298.15,7.06,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.0025,,,
,,,,,,298.15,7.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.002,,,
Wood H.G.; Davis J.J.; Lochm|ller H.; J. Biol. Chem.; 241 5692 (1966).,66WOO/DAV_1084," 4.1.1.38                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and enzymatic assay, carbonate + bicarbonate, A,298.15,6.5,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,
Barker H.A.; Arch. Mikrobiol.; 59 4 (1967).,67BAR_1134," 4.1.3.22                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium phosphate (0.05 mol dm-3), C,298.15,7.4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danno G.; Yoshimura S.; Natake M.; Agric. Biol. Chem.; 31 284 (1967).,67DAN/YOS_1302," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.01 mol dm-3), B,333.15,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,343.15,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Engel P.C.; Dalziel K.; Biochem. J.; 105 691 (1967).,67ENG/DAL_276," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, A,298.1,7,1.40E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,300.15,6.79,1.12E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,6.82,5.81E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445,,,,,,,,,,,,,,
,,,,,,300.15,6.83,4.22E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0245,,,,,,,,,,,,,,
,,,,,,300.15,6.89,6.31E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,300.15,6.9,5.62E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,
,,,,,,300.15,6.9,6.37E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,
,,,,,,300.15,6.9,7.51E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,
,,,,,,300.15,6.9,1.24E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,
,,,,,,300.15,6.9,1.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,6.9,1.51E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,6.9,1.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,6.92,7.04E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,300.15,6.92,7.13E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,300.15,6.93,4.14E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0245,,,,,,,,,,,,,,
,,,,,,300.15,6.93,8.80E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,,,,,
,,,,,,300.15,6.94,5.73E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445,,,,,,,,,,,,,,
,,,,,,300.15,6.94,6.79E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,300.15,6.95,7.79E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,,,,,
,,,,,,300.15,6.95,1.04E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,
,,,,,,300.15,6.95,1.30E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,
,,,,,,300.15,6.96,9.13E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,
,,,,,,300.15,6.97,9.86E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,
,,,,,,300.15,6.97,1.05E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,
,,,,,,300.15,6.98,8.66E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,,,,,
,,,,,,300.15,6.98,1.01E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,
,,,,,,300.15,6.98,1.08E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,
,,,,,,300.15,6.99,1.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,
,,,,,,300.15,6.99,1.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,6.99,1.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.15,7.06,1.16E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,
,,,,,,300.15,7.07,8.64E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,
,,,,,,300.15,7.17,2.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,300.1,7,1.80E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,303.15,6.89,1.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,,,,,,,,,,
,,,,,,303.15,7.02,2.18E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,,,,,,,,,,
,,,,,,305.1,7,2.80E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,309.8,7,4.30E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,311.1,7,5.30E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
Engel P.C.; Dalziel K.; Biochem. J.; 105 691 (1967).,67ENG/DAL_287," 1.4.1.4                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, A,298.1,7,1.10E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,300.15,6.9,2.59E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,
,,,,,,300.15,6.92,5.04E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,
,,,,,,300.15,6.92,5.92E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,
,,,,,,300.15,6.93,2.09E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,
,,,,,,300.15,6.94,2.91E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,
,,,,,,300.15,6.97,5.55E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,,
,,,,,,300.1,7,1.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,303.15,6.79,8.08E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,303.15,6.91,9.03E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,303.15,6.93,3.67E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,303.15,6.95,6.34E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,
,,,,,,303.15,6.96,3.83E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,
,,,,,,303.15,6.96,5.22E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,,
,,,,,,303.15,6.97,4.96E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,
,,,,,,303.15,6.99,1.16E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,
,,,,,,305.1,7,2.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,309.8,7,3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
,,,,,,311.1,7,3.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,
England P.J.; Denton R.M.; Randle P.J.; Biochem. J.; 105 32c (1967).,67ENG/DEN_1165," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, triethanolamine (0.1 mol dm-3) + HCl, B,310.15,7.3,,,,,,,,,,0.00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,11
,,,,,,310.15,7.3,,,,,,,,,,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,15
,,,,,,310.15,7.3,,,,,,,,,,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,17
,,,,,,310.15,7.3,,,,,,,,,,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,19
,,,,,,310.15,7.3,,,,,,,,,,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,25
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,,,,,,,,,25
,,,,,,310.15,7.3,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,26
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00065,,,,,,,,,14
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011,,,,,,,,,18
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,,,,,,,,,35
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031,,,,,,,,,35
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,33
,,,,,,310.15,7.3,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,30
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,28
,,,,,,310.15,7.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,7.5
Eppenberger H.M.; Dawson D.M.; Kaplan N.O.; J. Biol. Chem.; 242 204 (1967).,67EPP/DAW_595," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.1 mol dm-3) + HCl, C,310.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0054
,,,,,,310.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041
,,,,,,310.15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084
Groth D.P.; J. Biol. Chem.; 242 155 (1967).,67GRO_1088," 4.1.2.4                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.005 mol dm-3), B,295.15,7.5,2.50E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersh L.B.; Jencks W.P.; J. Biol. Chem.; 242 3468 (1967).,67HER/JEN_721," 2.8.3.5                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris, C,298.15,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067
Hirsch H.; Greenberg D.M.; J. Biol. Chem.; 242 2283 (1967).,67HIR/GRE_538," 2.6.1.52                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and radioactivity, Tris + HCl, D,298.15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
Kepler C.; Tove S.B.; J. Biol. Chem.; 242 5686 (1967).,67KEP/TOV_1280," 5.2.1.5                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity, phosphate (0.1 mol dm-3), B,308.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
Lombrozo L.; Greenberg D.M.; Arch. Biochem. Biophys.; 118 297 (1967).,67LOM/GRE_1059," 3.5.4.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium citrate (0.11 mol dm-3), C,298.15,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84
Plowman K.M.; Cleland W.W.; J. Biol. Chem.; 242 4239 (1967).,67PLO/CLE_1130," 4.1.3.8                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity and paper chromatography, Tris + HCl, C,298.15,8.1,~1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poe M.; Gutfreund H.; Estabrook R.W.; Arch. Biochem. Biophys.; 122 204 (1967).,67POE/GUT_263," 1.3.99.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate (0.10 mol dm-3) and Tris (0.10 mol dm-3), B,298.15,7.4,,,,,,,,,,,,,,,,,-72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poe M.; Gutfreund H.; Estabrook R.W.; Arch. Biochem. Biophys.; 122 204 (1967).,67POE/GUT_319," 1.6.99.3                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, citrate glycyl-glycine phosphate and (Tris + HCl), B,298.15,7,,,,,,,,,,,,,,,,,-516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosso R.G.; Adams E.; J. Biol. Chem.; 242 5524 (1967).,67ROS/ADA_1133," 4.1.3.16                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay spectrophotometry and chemical analysis, Tris (0.013 mol dm-3), B,310.15,8.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakai T.; Yorifuji T.; Tochikura T.; Ogata K.; Agr. Biol. Chem.; 31 525 (1967).,67SAK/YOR_470," 2.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ", electrophoresis, Tris (0.04 mol dm-3) + HCl, C,310.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
,,,,,,310.15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Sakai T.; Yorifuji T.; Tochikura T.; Ogata K.; Agr. Biol. Chem.; 31 533 (1967).,67SAK/YOR2_454," 2.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", electrophoresis, Tris (0.04 mol dm-3) + HCl, C,310.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063
,,,,,,310.15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
Silverstein R.; Voet J.; Reed D.; Abeles R.H.; J. Biol. Chem.; 242 1338 (1967).,67SIL/VOE_417," 2.4.1.7                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris maleate (0.03 mol dm-3), C,303.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Soda K.; Osumi T.; Agric. Biol. Chem.; 31 1097 (1967).,67SOD/OSU_1241," 5.1.1.10                                                    (ENZYME |                                                 KEGG)                                                ", manometry and enzymatic assay, diphosphate (0.03 mol dm-3), B,310.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Soda K.; Osumi T.; Agric. Biol. Chem.; 31 1097 (1967).,67SOD/OSU_1242," 5.1.1.10                                                    (ENZYME |                                                 KEGG)                                                ", manometry and enzymatic assay, diphosphate (0.03 mol dm-3), B,310.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Takeda Y.; Hizukuri S.; Nikuni Z.; Biochim. Biophys. Acta; 146 568 (1967).,67TAK/HIZ_1357," 5.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.040 mol dm-3) + HCl, C,310.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
Takasaki Y.; Agric. Biol. Chem.; 31 309 (1967).,67TAK_1303," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis and polarimetry, phosphate (0.045 mol dm-3), B,298.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
,,,,,,313.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92
,,,,,,333.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15
,,,,,,343.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Takasaki Y.; Agric. Biol. Chem.; 31 435 (1967).,67TAK2_1342," 5.3.1.7                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis and polarimetry, phosphate (0.05 mol dm-3), B,274.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,279.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,284.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,298.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,308.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,313.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Trijbels F.; Vogels G.D.; Biochim. Biophys. Acta; 132 115 (1967).,67TRI/VOG_1050," 3.5.3.4                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry, triethanolamine (0.087 mol dm-3) + HCl, B,303.15,7.5,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trijbels F.; Vogels G.D.; Biochim. Biophys. Acta; 132 115 (1967).,67TRI/VOG_1227," 4.3.2.3                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry, triethanolamine (0.07 mol dm-3) + HCl, B,303.15,7.5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uyeda K.; Rabinowitz J.C.; J. Biol. Chem.; 242 4378 (1967).,67UYE/RAB_301," 1.5.1.5                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium maleate (0.05 mol dm-3), B,298.15,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
Williams V.R.; Hiroms J.M.; Biochim. Biophys. Acta; 139 214 (1967).,67WIL/HIR_1215," 4.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.033 mol dm-3) + acetate, C,298.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamson D.H.; Lund P.; Krebs H.A.; Biochem. J.; 103 514 (1967).,67WIL/LUN_104," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.012 mol dm-3 to 0.10 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,9.36E-05
,,,,,,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,9.67E-05
,,,,,,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,,,,,,,,,,,,,0.0001023
,,,,,,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,,,,,,,,0.000111
Williamson D.H.; Lund P.; Krebs H.A.; Biochem. J.; 103 514 (1967).,67WIL/LUN_120," 1.1.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.0125 mol dm-3 to 0.10 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,,,,,,0.0494
,,,,,,311.15,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,0.0526
,,,,,,311.15,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,,,,,0.0561
,,,,,,311.15,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,0.0482
Williamson D.H.; Lund P.; Krebs H.A.; Biochem. J.; 103 514 (1967).,67WIL/LUN_134," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate, B,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,2.78E-05
Wolfenden R.; J. Biol. Chem.; 242 4711 (1967).,67WOL_1052," 3.5.4.4                                                    (ENZYME |                                                 KEGG)                                                ", radioactivity, ammonia + HCl, B,298.15,10.18,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,6.5,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,6.53,8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,7.5,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,8.12,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,8.52,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,8.88,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.13,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.16,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.16,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.16,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.16,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
