,undescribed compounds
122,5-phospho-α-D-ribose 1-diphosphate
123,phosphoribosyl-1-O-(2-thiodiphosphate)
124,(L-lysine)n
125,(n-1) H2O
126,Nα-benzoyl-L-argininamide
127,Nα-benzoyl-L-arginine
128,CH2-H4PteGlu4
129,3-(imidazol-4-yl)-2-oxopropyl phosphate
130,γ-/glutamohydroxamic acid
131,"D-ribulose 1,5-biphosphate"
132,2-oxo-myo-inositol
133,(3R)-3-hydroxybutanoyl-CoA
134,cis-but-2-enoyl-CoA
135,(3S)-3-hydroxybutanoyl-CoA
136,(3R)-3-hydroxyhexanoyl-CoA
137,cis-hex-2-enoyl-CoA
138,(3S)-3-hydroxyhexanoyl-CoA
139,5α-androstane-3α-ol-17-one
140,"5α-androstane-3,17-dione"
141,"5β-pregnane-3α,17α,21-triol-11,20-dione"
142,"5β-pregnane-17α,21-diol-3,11,20-trione"
143,"5α-androstane-3α,17β-diol"
144,5α-androstane-17β-ol-3-one
145,5β-androstane-3α-ol-17-one
146,"5β-androstane-3,17-dione"
147,"5α-pregnane-3α,17α,21-triol-20-one"
148,"5α-pregnane-17α,21-diol-3,20-dione"
149,"5β-pregnane-3α,17α,21-triol-20-one"
150,"5β-pregnane-17α,21-diol-3,20-dione"
151,TNAD
152,TNADH
153,dimethylacetothetin
154,S-methylpropiothetin
155,"3,5-dinitrophenol"
156,3'-phosphoadenylylsulfate
157,"3,5-dinitrophenolsulfate"
158,"adenosine 3',5'-biphosphate"
159,4-nitrophenol sulfate
160,UDP-D-quinovose
161,UDP-D-fucose
162,6-amino-D-glucose
163,dihydro-α-lipoate
164,α-lipoate
165,estradiol-17β
166,pyrophosphate  This is an approximate result.
167,"4',5'-anhydroadenosine"
168,D-glycero-D-glucoheptitol
169,N-acetyl-α-D-glucosamine 1-phosphate
170,β-alanylpantetheine
171,acrylylpantetheine
172,2-keto-3-deoxy-D-glycero-D-galacto-nonopyranulosonate
173,L-arginosuccinate
174,β-D-glucose 6-phosphate
175,ATP \+L-valine \+tRNAval
176,L-valyl-tRNAval
177,D-erythrose 4-phospahte
178,4-methyl-5-(2-phosphonoxyethyl)-thiazole
179,Nω-phosphotaurocyamine
180,L-tyrosylglycinamide
181,(S)-lactaldehyde
182,(S)-methylmalonyl-CoA
183,β-alanine
184,phosvitin
185,dephosvitin
186,lysozyme
187,phospholysozyme
188,phosphoenolpyruvate kinase
189,H2O(1)
190,(R)-methylmalonyl-CoA
191,L-acetylcarnitine
192,L-butyrylcarnitine
193,L-propionylcarnitine
194,γ-fluoroglutamate
195,cis-D-3-fluoro-2-pyrrolidone-5-carboxylate
196,trans-D-3-fluoro-2-pyrrolidone-5-carboxylate
197,5-oxo-D-gluconate
198,3-oxo-L-threonate
199,α-D-mannose 1-phosphate
200,GDPmannose
201,cytidine 2':3'-(cyclic)phosphate
202,uridine 2':3'-(cyclic)phosphate
203,guanosine 2':3'-(cyclic)phosphate
204,guanosine 3'-methylphosphate
205,hippurylanilide
206,(-)-ureidoglycolate
207,phenyl α-maltoside
208,phenyl α-D-glucopyranoside
209,O-α-D-glucopyranosyl-(1->4)n
210,6-O-α-D-galactopyranosyl-D-galactopyranose
211,4-O-α-D-glucopyranosyl-D-fructofuranose
212,3-O-α-D-glucopyranosyl-lyxopyranose
213,α-isomaltose
214,β-isomaltose
215,1-O-α-D-mannopyranosyl-D-mannofuranose
216,6-O-α-D-mannopyranose-D-mannopyranose
217,β-D-melibiose
218,DL-Δ1-pyrroline-5-carboxylate
219,"(2,6-β-D-fructosyl)n"
220,"(2,6-β-D-fructosyl)n\+1"
221,laminaritetraose
222,laminaritriose
223,"dTDP-4-amino-4,6-dideoxy-D-glucose"
224,GDPglucose
225,(S)-2-methylmalate
226,L-α-amino-n-butyrate
227,D-α-amino-n-butyrate
228,5-deoxypyridoxamine
229,3-hydroxy-4-aminomethylpyridine
230,3-hydroxypyridine-4-aldehyde
231,Î¿-methylpyridoxamine
232,Î¿-methylpyridoxal
233,norpyridoxamine
234,norpyridoxal
235,3-oxolactose
236,1-α-D-galactosyl-myo-inositol
237,adenosine 3':5'-(cyclic)phosphate
238,guanosine 3':5'-(cyclic)phosphate
239,2'-deoxyadenosine 3':5'-(cyclic)phosphate
240,inosine 3':5'-(cyclic)phosphate
241,uridine 3':5'-(cyclic)phosphate
242,(\+)-camphor
243,(\+)-5-exo-hydroxycamphor
244,(R)-5-phosphomevalonate
245,(R)-5-diphosphomevalonate
246,ATP-α-S
247,ADP-α-S
248,ATP-γ-S
249,2-thio-5-diphosphomevalonate
250,"(3S)-3,6-diaminohexanoate"
251,5-hydroxy-N-methylpyroglutamate
252,4-methyl-2-oxopentanooate
253,"β-(3,5-diiodo-4-hydroxyphenyl)lactate"
254,"β-(3,5-diiodo-4-hydroxyphenyl)pyruvate"
255,1-phospho-α-D-glucuronate
256,adenosine 2':3'-(cyclic)phosphate
257,(S)-5-amino-3-oxohexanoate
258,2-oxo-4-methiolbutyrate
259,(R)-glyceraldehyde
260,"α,α-trehalose"
261,orthophospate
262,"(R,S)-malyl-CoA"
263,N-acetyl-L-phenylalanine-L-dibromidetyrosine ethyl ester
264,L-dibromotyrosine ethyl ester
265,N-acetyl-L-phenylalanyl-L-phenylalanylglycine
266,L-phenylalanylglycine
267,N-acetyl-L-phenylalanyl-L-phenylalanylglycine methyl ester
268,L-phenylalanylglycine methyl ester
269,D(-)-α-aminophenylacetic acid
270,7-aminodeacetoxycephalosporanic acid
271,7-amino-3-(1-pyridyl-methyl)-3-cephem-4-carboxylic acid
272,penicillinoic acid
273,penicic acid
274,7-phenylacetamidodeacetoxycephalosporanic acid
275,penicillin G-
276,6-aminopenicillanic acid-
277,phenoxymethylpenicillin-
278,6-aminopenicillanate-
279,phenylacetyl-L-phenylglycine
280,1-(indol-3-yl)glycerol 3-phosphate
281,benzyloxycarbonylglycyl-L-phenylalaninamide
282,L-phenylalaninamide
283,N-(benzyloxycarbonyl)-L-aspartyl-L-phenylalanine methyl ester
284,N-(benzyloxycarbonyl)-L-aspartic acid
285,ampicillinoic acid
286,phenoxymethylpenicillinoic acid
287,N-acetyl-L-α-amino-n-butyrate
288,N-acetyl-L-glycine
289,N-acetyl-L-norleucine
290,N-acetyl-L-norvaline
291,Δ1-pyrroline-2-carboxylate
292,(R)-S-lactoylglutathione
293,glutathione (reduced)
294,"(2R,3S)-2,3-dimethylmalate"
295,4-methyl-5-(2'-hydroxyethyl)-thiazole
296,heteroanilithiamine
297,heteronicotinathiamine
298,DL-3-hydroxybutanoyl-CoA
299,S-aminomethyldihydro-α-lipoate
300,3-O-β-D-galactopyranosyl-D-arabinose
301,N2-(D-1-carboxyethyl)-L-arginine
302,2-methyliminodiacetate
303,oxidized thiocyanate
304,9/20-DNA oligomer
305,10/20-DNA oligomer
306,"2',4,4'-trihydroxychalcone"
307,"(2S)-4',7-dihydroxyflavanone"
308,Nω-phospholombricine
309,maltosyl-β-cyclomaltoheptaose
310,n-decanoic acid glycerol diester
311,n-decanoic acid
312,n-decanoic acid glycerol monoester
313,n-decanoic acid glycerol triester
314,n-octanoic acid glycerol diester
315,n-octanoic acid glycerol monoester
316,n-octanoic acid glycerol triester
317,dodecyldodecanoate
318,1-dodecanoic acid
319,(-)-menthol
320,(-)-menthyl dodecanoate
321,(S)-2-(4-isobutylphenyl)propionyl-CoA
322,(R)-2-(4-isobutylphenyl)propionyl-CoA
323,(R)-malate
324,ethyl-(E)-2-octenoate
325,glutathione derivative of ethyl (E)-2-octenoate
326,methyl-(E)-2-octenoate
327,glutathione derivative of methyl (E)-2-octenoate
328,(E)-3-nonen-2-one
329,glutathione derivative of (E)-3-nonen-2-one
330,(E)-2-octenal
331,glutathione derivative of (E)-2-octenal
332,(E)-4-phenyl-3-buten-2-one
333,4-(glutathionyl)-4-phenyl-2-butanone
334,(Z)-phosphoenolbutyrate
335,(Z)-enolbutyryl-UDP-N-acetylglucosamine
336,UMPimidazole
337,(R)-2-decanol
338,(R)-2-decyl butyrate
339,"glycerol-1,2-dibutyrate"
340,(R)-2-dodecanol
341,(R)-2-dodecyl butyrate
342,(R)-2-heptanol
343,(R)-2-heptyl butyrate
344,(R)-2-nonanol
345,(R)-2-nonyl butyrate
346,(R)-2-octanol
347,(R)-2-octyl butyrate
348,(R)-2-undecanol
349,(R)-2-undecyl butyrate
350,"3,4,5-trihydroxybenzoic acid propyl ester"
351,dihydroxonic acid
