,index,Enzyme:,Reaction:,Reference:,Reference ID:,T(K),pH ,K<sub>c</sub>' ,δ<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),Km',δ<sub>r</sub>H(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,"m(KCl,mol.kg<sup>-3</sup>)",added solute ,δ<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),cosolvent ,δ<sub>r</sub>H?(kJ.mol<sup>-1</sup>),Km' ,media ,Method:,salt ,c(Mg)tot(mol dm<sup>-3</sup>),"c(Tris,mol dm<sup>-3</sup>)",p(MPa),"c(NaCl,mol dm<sup>-3</sup>)",I<sub>c</sub> ,"c(MgCl2,mol dm<sup>-3</sup>)",buffer and/or salt ,Buffer:,K ,"c(CaCl2,mol dm<sup>-3</sup>)",buffer(mol dm<sup>-3</sup>),solvent ,"c(MgSO4,mol dm<sup>-3</sup>)",I<sub>c</sub>(kJ.mol<sup>-1</sup>),δ<sub>r</sub>H(cal)/(n<sup>-1</sup>,kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)","c(salt,mol dm<sup>-3</sup>)",pMg ,"δ<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",EC Value:,"δ<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",K' ,"c(phosphate,mol dm<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(total substrate,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal) ,"m(MgCl2,mol.kg<sup>-1</sup>)",buffer ,"c(glycerol,mol dm<sup>-3</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(MnCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>m</sub>(mol.kg<sup>-1</sup>),c(MgCl2) ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),"c(KCl,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),protein ,c(nucleotide)tot(mol dm<sup>-3</sup>)
23,2437, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.94,36.1, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
24,2438, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.94,36.5, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
25,2439, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.94,37.6, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
26,2440, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.94,39.0, ,, , , , , , , , , , , , , , , , ,0.0019, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
27,2441, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.95,34.6, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
28,2442, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.95,39.4, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
29,2443, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.95,39.9, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
30,2444, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.95,40.1, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
31,2445, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,6.95,37.4, ,, , , , , , , , , , , , , , , , ,0.0121, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
32,2446, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.08,31.6, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
33,2447, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.08,32.4, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
34,2448, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.09,28.2, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
35,2449, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.09,30.4, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
36,2450, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.15,35.9, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
37,2451, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.15,36.9, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
38,2452, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.16,34.0, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
39,2453, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.22,26.7, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
40,2454, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.23,31.3, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
41,2455, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.23,34.1, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
42,2456, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.32,33.5, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
43,2457, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.32,34.4, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
44,2458, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.35,33.6, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
45,2459, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.35,36.8, ,, , , , , , , , , , , , , , , , ,0.005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
46,2460, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.92,24.1, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
47,2461, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.92,25.5, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
48,2462, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.99,21.6, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
49,2463, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq), , ,311.15,7.99,28.9, ,, , , , , , , , , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , 
0,2464, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Hill B.; Attwood M.M.; J. Gen. Microbiol.; 96 185 (1976).,76HIL/ATT_1397,303.15,7.3, , ,, , , , , , , , , , enzymatic assay and spectrophotometry, , , , , , , , , imidazole (0.05 mol dm-3) + HCl, , , , , , , , , , , , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", ,11.3, , , , , , , , , , , , , , , , , 
0,2465, malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),Jespersen N.; Thermochim. Acta; 17 23 (1976).,76JES_139,298.15,7.4, ,89.5,, , , , , , , , , , calorimetry, , , , , , , , , phosphate (0.5 mol dm-3), , , , , , , , , , , , ," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
0,2466, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),"Lawson J.W.R.; Guynn R.W.; Cornell N.; Veech R.L.; in ""Gluconeogenesis: Its Regulation in Mammalian Species""; R.W. Hanson and M.A. Mehlman eds.; John Wiley and Sons New York (1976) pp. 481-512.",76LAW/GUY_649,310.15,6.89, , ,, , , , , , , , , , enzymatic assay; spectrophotometry, , , , , , , , , phosphate (0.0095 M - 0.0097 mol dm-3), , , , , , , , ,0.0011, , , ," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", ,0.964, , , , , , , , , ,0.25, , , , , , , 
1,2467, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.9, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00108, , , , , ,0.982, , , , , , , , , ,0.25, , , , , , , 
2,2468, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.91, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00108, , , , , ,0.98, , , , , , , , , ,0.25, , , , , , , 
3,2469, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.91, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00108, , , , , ,0.983, , , , , , , , , ,0.25, , , , , , , 
4,2470, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.97, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00038, , , , , ,0.929, , , , , , , , , ,0.25, , , , , , , 
5,2471, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.97, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00038, , , , , ,0.981, , , , , , , , , ,0.25, , , , , , , 
6,2472, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.98, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00036, , , , , ,0.871, , , , , , , , , ,0.25, , , , , , , 
7,2473, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.98, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00037, , , , , ,0.946, , , , , , , , , ,0.25, , , , , , , 
8,2474, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0001, , , , , ,0.708, , , , , , , , , ,0.25, , , , , , , 
9,2475, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00025, , , , , ,0.899, , , , , , , , , ,0.25, , , , , , , 
10,2476, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00044, , , , , ,1.014, , , , , , , , , ,0.25, , , , , , , 
11,2477, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00066, , , , , ,1.044, , , , , , , , , ,0.25, , , , , , , 
12,2478, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00083, , , , , ,1.06, , , , , , , , , ,0.25, , , , , , , 
13,2479, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00195, , , , , ,0.842, , , , , , , , , ,0.25, , , , , , , 
14,2480, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00445, , , , , ,0.572, , , , , , , , , ,0.25, , , , , , , 
15,2481, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,310.15,6.99, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00998, , , , , ,0.38, , , , , , , , , ,0.25, , , , , , , 
0,2482, alkaline phosphatase, D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),"Lawson J.W.R.; Guynn R.W.; Cornell N.; Veech R.L.; in ""Gluconeogenesis: Its Regulation in Mammalian Species""; R.W. Hanson and M.A. Mehlman eds.; John Wiley and Sons New York (1976) pp. 481-512.",76LAW/GUY_773,310.15,6.99,110, ,, , , , , , , , , , enzymatic assay; spectrophotometry, , , , , , , , , phosphate (0.098 mol dm-3), , , , , , , , , , ,3.0, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , ,0.25, , , , , , , 
0,2483, fructose-biphosphatase," D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + orthophosphate(aq)","Lawson J.W.R.; Guynn R.W.; Cornell N.; Veech R.L.; in ""Gluconeogenesis: Its Regulation in Mammalian Species""; R.W. Hanson and M.A. Mehlman eds.; John Wiley and Sons New York (1976) pp. 481-512.",76LAW/GUY_830,310.15,6.99,174, ,, , , , , , , , , , enzymatic assay; spectrophotometry, , , , , , , , , phosphate (0.104 mol dm-3), , , , , , , , , , ,3.05, ," 3.1.3.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , ,0.25, , , , , , , 
0,2484, xylose isomerase, D-glucose(aq) = D-fructose(aq),Lloyd N.E.; Khaleeluddin K.; Cereal Chem.; 53 27 (1976).,76LLO/KHA_1309,303.15,7.3, , ,, , , , , , , , , , polarimetry and HPLC, , , , , , , , , sodium sulfite + sodium hydrogen sulfite, , , , , , , , , , , , ," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", ,0.869, , , , , , , , , , , , , , , , , 
1,2485, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,318.15,7.3, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.931, , , , , , , , , , , , , , , , , 
2,2486, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,333.15,7.3, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.996, , , , , , , , , , , , , , , , , 
3,2487, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,343.15,7.3, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.101, , , , , , , , , , , , , , , , , 
0,2488, phosphomannomutase, D-mannose 1-phosphate(aq) = D-mannose 6-phosphate(aq),Murata T.; Plant Cell Physiol.; 17 1099 (1976).,76MUR_1413,303.15,7.0, , ,, , , , , , , , , , enzymatic assay and spectrophotometry, , , , , , , , , Tris acetate (0.02 mol dm-3), , , , , , , , , , , , ," 5.4.2.8                                                    (ENZYME |                                                 KEGG)                                                ", ,8.5, , , , , , , , , , , , , , , , , 
0,2489, arginine kinase, ATP(aq) + L-arginine(aq) = ADP(aq) + NÏ‰-phospho-L-arginine(aq),Rao B.D.N.; Buttlaire D.H.; Cohn M.; J. Biol. Chem.; 251 6981 (1976).,76RAO/BUT_618,285.15,7.25, , ,, , , , , , , , , , NMR, , , , , , , , , Hepes (0.15 mol dm-3), , , , , , , , , , , , ," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", ,0.1, , , , , , , , , , , , , , , , , 
0,2490, formate dehydrogenase, formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq),Ruschig U.; M|ller U.; Willnow P.; Hvpner T.; Eur. J. Biochem.; 70 325 (1976).,76RUS/MUL_237,298.15,6.2, , ,, , , , , , , , , , spectrophotometry, , , , , , , , , histidine hydrochloride (0.071 mol dm-3), , , , , , , , , , , , ," 1.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", ,~420, , , , , , , , , , , , , , , , , 
0,2491, urease, urea(aq) + 2 H2O(l) = 2 ammonia(aq) + carbon dioxide(aq),Schmidt H.-L.; Krisam G.; Grenner G.; Biochim. Biophys. Acta; 429 283 (1976).,76SCH/KRI_1000,300.15,7.0, , ,, , , , , , , , , , calorimetry, , , , , , , , , Tris (0.05 mol dm-3) + HCl, , , , , , , , , , , , ," 3.5.1.5                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , ,-7.1, , , , 
1,2492, urease, urea(aq) + 2 H2O(l) = 2 ammonia(aq) + carbon dioxide(aq), , ,300.15,8.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.4, , , , 
0,2493, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Schmidt H.-L.; Krisam G.; Grenner G.; Biochim. Biophys. Acta; 429 283 (1976).,76SCH/KRI_107,298.15,7.5, , ,, , , , , , , , , , calorimetry, , , , , , , , , phosphate (0.07 mol dm-3), , , , , , , , , , , , ," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , ,41.8, , , , 
0,2494, glucose oxidase and catalase," Î²-D-glucose(aq) + 1/2 O2(aq) = D-glucono-1,5-lactone(aq) + H2O(liq)",Schmidt H.-L.; Krisam G.; Grenner G.; Biochim. Biophys. Acta; 429 283 (1976).,76SCH/KRI_228,303.15,7.0, , ,, , , , , , , , , , calorimetry, , , , , , , , , phosphate (0.066 mol dm-3), , , , , , , , , , , , ," 1.1.3.4 & 1.11.1.6                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , ,-207.1, , , , 
0,2495, xylose isomerase, D-glucose(aq) = D-fructose(aq),Sproull R.D.; Lim H.C.; Schneider D.R.; Biotechnol. Bioeng.; 18 633 (1976).,76SPR/LIM_1310,303.15,7.0, , ,, , , , , , , , , , enzymatic assay and chemical analysis, , , , , , , , , , , , , , , , , , , , , ," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", ,0.828, , , , , , , , , , , , , , , , , 
1,2496, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,318.15,7.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.957, , , , , , , , , , , , , , , , , 
2,2497, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,333.15,7.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.141, , , , , , , , , , , , , , , , , 
3,2498, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,343.15,7.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.283, , , , , , , , , , , , , , , , , 
4,2499, xylose isomerase, D-glucose(aq) = D-fructose(aq), , ,353.15,7.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.381, , , , , , , , , , , , , , , , , 
0,2500, pancreatic ribonuclease, cytidine 2':3'-(cyclic)phosphate(aq) + H2O(l) = cytidine 3'-monophosphate(aq),Tribout M.; Paredes S.; Leonis J.; Biochem. J.; 153 89 (1976).,76TRI/PAR_856,298.15,5.0, , ,, , , , , , , , , , calorimetry, , , , , , , , , acetate, , , , , , , , , , , , ," 3.1.27.5                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , ,0.1, , ,-33.9, , , , 
0,2501, tryptophan synthase, D-glyceraldehyde 3-phosphate(aq) + indole(aq) = 1-(indol-3-yl)glycerol 3-phosphate(aq),Weischet W.O.; Kirschner K.; Eur. J. Biochem.; 65 365 (1976).,76WEI/KIR_1179,298.15,7.8,~2300, ,, , , , , , , , , , spectrophotometry, , , , , , , , , Tris (0.05 mol dm-3), , , , , , , , , , , , ," 4.2.1.20                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
0,2502, creatine kinase, phosphocreatine(aq) + cyclocreatine(aq) = creatine(aq) + phosphocyclocreatine(aq),Annesley T.M.; Walker J.B.; Biochem. Biophys. Res. Commun.; 74 185 (1977).,77ANN/WAL_608,310.15,7.0, , ,, , , , , , , , , , spectrophotometry, , , , , , , , , (triethanolamine + HCl) and sodium glycine, , , , , , , , , , , , ," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", ,25, , , , , ,triethanolamine + HCl, , , , , , , , , , , 
1,2503, creatine kinase, phosphocreatine(aq) + cyclocreatine(aq) = creatine(aq) + phosphocyclocreatine(aq), , ,310.15,9.0, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , , , , ,sodium gylcine, , , , , , , , , , , 
0,2504, chymotrypsin, N-acetyl-L-phenylalanine methyl ester(aq) + H2O(l) = N-acetyl-L-phenylalanine(aq) + methanol(aq),Antonov V.K.; Ginodman L.M.; Gurova A.G.; Mol. Biol. (Moscow); 11 1160 (1977).,77ANT/GIN_962,293.15,5.5,588, ,, , , , , , , , , , chemical assay, , , , , , , , , acetate (0.1 mol dm-3), , , , , , , , , , , , ," 3.4.21.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
0,2505, chymotrypsin, N-acetyl-L-phenylalanylglycinamide(aq) + H2O(l) = N-acetyl-L-phenylalanine(aq) + glycinamide(aq),Antonov V.K.; Ginodman L.M.; Gurova A.G.; Mol. Biol. (Moscow); 11 1160 (1977).,77ANT/GIN_964,293.15,5.5,2.0, ,, , , , , , , , , , chemical assay, , , , , , , , , acetate (0.1 mol dm-3), , , , , , , , , , , , ," 3.4.21.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
1,2506, chymotrypsin, N-acetyl-L-phenylalanylglycinamide(aq) + H2O(l) = N-acetyl-L-phenylalanine(aq) + glycinamide(aq), , ,293.15,7.3,2.5, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2507, chymotrypsin, N-acetyl-L-phenylalanylglycinamide(aq) + H2O(l) = N-acetyl-L-phenylalanine(aq) + glycinamide(aq), , ,293.15,8.2,5.9, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0,2508, NAD+ kinase, ATP(aq) + NAD(aq) = ADP(aq) + NADP(aq),Apps D.K.; Nairn A.C.; Biochem. J.; 167 87 (1977).,77APP/NAI_556,303.15,6.1, , ,, , , , , , , , , , enzymatic assay and chromatography, , , , , , , , , sodium cacodylate (0.1 mol dm-3), , , , , , , , , , , , ," 2.7.1.23                                                    (ENZYME |                                                 KEGG)                                                ", ,29.3, , , , , , , , , , , , , , , , , 
0,2509, chymotrypsin, N-acetyl-L-tyrosine ethyl ester(aq) + H2O(l) = N-acetyl-L-tyrosine(aq) + ethanol(aq),Grime J.K.; Lockhart K.; Tan B.; Anal. Chim. Acta; 91 243 (1977).,77GRI/LOC_967,298.15,7.8, , ,, , , , , , , , , , calorimetry, , , , , , , , , Tris + HCl, , , , , , , , , , , , ," 3.4.21.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , ,-48.4, , , , 
0,2510, urate oxidase and catalase, urate(aq) + 1/2 O2(aq) + 2 H2O(l) = allantoin(aq) + carbon dioxide(aq),Rehak N.N.; Janes G.; Young D.S.; Clin. Chem. (Winston-Salem N.C.); 23 195 (1977).,77REH/JAN_320,303.15,9.0, , ,, , , , , , , , , , calorimetry, , , , , , , , , Tris (0.02 mol dm-3) + HCl, , , , , , , , , , , , ," 1.7.3.3 & 1.11.1.6                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , ,-149.6, , , , 
0,2511, malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+), (S)-malate(aq) + NADP(aq) + H2O(l) = pyruvate(aq) + NADPH(aq) + carbon dioxide(aq),Schimerlik M.I.; Cleland W.W.; Biochemistry; 16 565 (1977).,77SCH/CLE_151,298.15,7.1,0.029, ,, , , , , , , , , , spectrophotometry, , , , , , , , , acetic acid glycine cacodylic acid and Hepes, , , , , , , , , , , , ," 1.1.1.40                                                    (ENZYME |                                                 KEGG)                                                ", , , , , , , , , , , , , , , , , , , 
0,2512, glycine hydroxymethyltransferase," 5,10-methylenetetrahydrofolate(aq) + glycine(aq) + H2O(l) = tetrahydrofolate(aq) + L-serine(aq)",Schirch L.V.; Tatum C.M. Jr.; Benkovic S.J.; Biochemistry; 16 410 (1977).,77SCH/TAT_350,303.15,7.3, , ,, , , , , , , , , , spectrophotometry and radioactivity, , , , , , , , , potassium phosphate, , , , , , , , , , , , ," 2.1.2.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.125, , , , , , , , , , , , , , , , , 
1,2513, glycine hydroxymethyltransferase," 5,10-methylenetetrahydrofolate(aq) + glycine(aq) + H2O(l) = tetrahydrofolate(aq) + L-serine(aq)", , ,308.15,7.5, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.083, , , , , , , , , , , , , , , , , 
0,2514, acetate CoA-transferase, acetyl-CoA(aq) + acetoacetate(aq) = acetoacetyl-CoA(aq) + acetate(aq),Sramek S.J.; Frerman F.E.; Arch. Biochem. Biophys.; 181 178 (1977).,77SRA/FRE_722,298.15,8.1, , ,, , , , , , , , , , spectrophotometry, , , , , , , , , Tris (0.067 mol dm-3) + HCl, , , , , , , , , , , , ," 2.8.3.8                                                    (ENZYME |                                                 KEGG)                                                ", ,0.13, , , , , , , , , , , , , , , , , 
