,standard_id,Enzyme:,KEGG Reaction:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
33,2898.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,,,,58
34,2899.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,313.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,,,,64
35,,alkaline phosphatase,,phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15,,,,calorimetry,phosphate,,3.1.3.1,,,,,-31
36,235.0,alkaline phosphatase,kegg:C02305 + kegg:C00001 = kegg:C00300 + kegg:C00009,phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15,,,,calorimetry,phosphate,,3.1.3.1,,,,,-44.8
37,2717.0,alkaline phosphatase,kegg:C00197 + kegg:C00001 = kegg:C00258 + kegg:C00009,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15,,,,calorimetry,phosphate,,3.1.3.1,,,,,-34.5
38,385.0,alkaline phosphatase,kegg:C00074 + kegg:C00001 = kegg:C00022 + kegg:C00009,phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15,,,,calorimetry,phosphate,,3.1.3.1,,,,,-35.4
39,113.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7.0,0.00014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
40,122.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7.0,7.10E-05,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt,,,
41,93.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7.0,0.00032,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,,,,
42,107.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0012 salt,,,
43,96.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.0011,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0025 salt,,,
44,120.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00064,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
45,105.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00051,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.012 salt,,,
46,121.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00031,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.031 salt,,,
47,100.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.06 salt,,,
48,104.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00037,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.06 salt,,,
49,102.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00029,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt,,,
50,101.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt,,,
51,118.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.24 salt,,,
52,99.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00055,,spectrophotometry,,Na2SO4,4.1.2.13 & 5.3.1.1,,0.2 salt,,,
53,106.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.0011,,spectrophotometry,,NaCl,4.1.2.13 & 5.3.1.1,,0.043 salt,,,
54,97.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00075,,spectrophotometry,,NaCl,4.1.2.13 & 5.3.1.1,,0.21 salt,,,
55,98.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.00047,,spectrophotometry,,NaCl,4.1.2.13 & 5.3.1.1,,0.90 salt,,,
56,117.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7.0,0.0015,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,,,,
57,116.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7.0,0.0056,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0012 salt,,,
58,109.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7.0,0.0025,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
59,108.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7.0,0.002,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.012 salt,,,
60,112.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7.0,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.031 salt,,,
61,94.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7.0,0.0064,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,,,,
62,115.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.015,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0012 salt,,,
63,111.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.0082,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
64,110.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.0056,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.012 salt,,,
65,119.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.0046,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.031 salt,,,
66,103.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.0012,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt,,,
67,95.0,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7.0,0.019,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,,,,
68,1380.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7.0,0.00014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
69,1382.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7.0,7.10E-05,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt,,,
70,1358.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7.0,0.00032,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,,,,
71,1373.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0012 salt,,,
72,1362.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.0011,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0025 salt,,,
73,1387.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.00064,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt,,,
74,1371.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.00051,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.012 salt,,,
75,1370.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.00031,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.031 salt,,,
76,1366.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.06 salt,,,
77,1386.0,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7.0,0.00037,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.06 salt,,,
