ID	Equation
alanine transaminase	cpd00035 + cpd00024 = cpd00020 + cpd00023
aspartate transaminase	cpd00041 + cpd00024 = cpd00032 + cpd00023
phosphoglucomutase	cpd00288 = cpd02611
adenylate kinase	cpd00005 = cpd00018 + cpd00002
adenylate kinase	cpd00177 = cpd00294 + cpd00115
adenylate kinase	cpd00002 + cpd00005 = cpd02198 + cpd00018
aconitate hydratase	cpd00137 = cpd00331 + cpd00001
aconitate hydratase	cpd00260 = cpd00331 + cpd00001
aconitate hydratase	cpd00260 = cpd00137
triose-phosphate isomerase	cpd00102 = cpd00095
acetate kinase	cpd00002 + cpd00029 = cpd00005 + cpd00196
glyceraldehyde-3-phosphate dehydrogenase	cpd00102 + cpd00009 + cpd00003 = cpd00203 + cpd00004
acid phosphatase	cpd00018 + cpd00001 = cpd00002 + cpd00009
acid phosphatase	cpd00002 + cpd00001 = cpd00002 + cpd00009
acid phosphatase	cpd00802 + cpd00001 = cpd00072 + cpd00009
acid phosphatase	cpd00072 + cpd00001 = cpd00072 + cpd00009
acid phosphatase	cpd00290 + cpd00001 = cpd00802 + cpd00009
acid phosphatase	cpd00290 + cpd00001 = cpd00072 + cpd00009
acid phosphatase	cpd00196 + cpd00001 = cpd00029 + cpd00009
acid phosphatase	cpd02135 + cpd00001 = cpd00646 + cpd00009
phosphoglycerate kinase	cpd00002 + cpd00169 = cpd00005 + cpd00203
isocitrate dehydrogenase (NADP+)	cpd00260 + cpd00005 + cpd00001 = cpd00024 + cpd00005 + cpd00011
acetylcholinesterase	cpd01367 + cpd00001 = cpd00029 + cpd00098
pyruvate kinase	cpd00002 + cpd00020 = cpd00005 + cpd00061
mannose-6-phosphate isomerase	cpd00235 = cpd00072
glucose-6-phosphate isomerase	cpd00079 = cpd00072
L-iditol dehydrogenase	cpd00491 + cpd00003 = cpd00072 + cpd00004
L-iditol dehydrogenase	cpd00314 + cpd00003 = cpd00072 + cpd00004
L-iditol dehydrogenase	cpd00366 + cpd00003 = cpd00171 + cpd00004
L-iditol dehydrogenase	cpd00306 + cpd00003 = cpd00198 + cpd00004
L-iditol dehydrogenase	cpd01171 + cpd00003 = cpd00589 + cpd00004
chymotrypsin	cpd01149 + cpd00001 = cpd01149 + cpd00116
alanine racemase	cpd00035 = cpd00117
_-fructofuranosidase	cpd00076 + cpd00001 = cpd00026 + cpd00072
urease	cpd00073 + cpd00001 = cpd00013 + cpd00011
glutamate racemase	cpd00023 = cpd00186
inorganic pyrophosphatase	cpd00002 + cpd00001 = cpd00009
phosphate acetyltransferase	cpd00022 + cpd00009 = cpd00010 + cpd00196
phosphate acetyltransferase	cpd00592 + cpd00009 = cpd00010 + cpd01598
acetaldehyde dehydrogenase (acetylating)	cpd00071 + cpd00010 + cpd00003 = cpd00022 + cpd00004
arabinose isomerase	cpd00185 = cpd00171
arabinose isomerase	cpd00272 = cpd00806
xylose isomerase	cpd00154 = cpd00198
xylose isomerase	cpd00026 = cpd00072
xylose isomerase	cpd03884 = cpd03880
acetate-CoA ligase	cpd00002 + cpd00029 + cpd00010 = cpd00018 + cpd00008 + cpd00022
NAD(P)+ transhydrogenase	cpd00003 + cpd00005 = cpd00004 + cpd00005
3-hydroxybutyrate dehydrogenase	cpd00797 + cpd00003 = cpd00498 + cpd00004
acetyl-CoA C-acetyltransferase	cpd00022 = cpd00010 + cpd00279
3-oxoacid CoA-transferase	cpd00078 + cpd00142 = cpd00036 + cpd00279
trimetaphosphatase	cpd01622 + cpd00001 = cpd00002
glutamate dehydrogenase (NAD(P)+)	cpd00023 + cpd00003 + cpd00001 = cpd00024 + cpd00004 + cpd00013
glutamate dehydrogenase (NAD(P)+)	cpd00023 + cpd00005 + cpd00001 = cpd00024 + cpd00005 + cpd00013
ribose-5-phosphate isomerase	cpd00101 = cpd00171
nucleoside-diphosphate kinase	cpd00002 + cpd00090 = cpd00005 + cpd00068
nucleoside-diphosphate kinase	cpd00002 + cpd00031 = cpd00005 + cpd00038
ketotetraose-phosphate aldolase	cpd02148 = cpd00055 + cpd00095
butyryl-CoA dehydrogenase	cpd00120 + cpd01206 = cpd00650 + cpd01206
glutamate-ammonia ligase	cpd00002 + cpd00023 + cpd00013 = cpd00005 + cpd00002 + cpd00053
dihydroorotase	cpd00282 + cpd00001 = cpd00343
carboxymethylhydantoinase	cpd02324 + cpd00001 = cpd00343
3-dehydroquinate dehydratase	cpd00699 = cpd01716 + cpd00001
imidazole N-acetyltransferase and phosphate acetyltransferase	cpd00196 + cpd00119 = cpd01677 + cpd00009
phosphoenolpyruvate carboxykinase (GTP)	cpd00068 + cpd00032 + cpd00001 = cpd00090 + cpd00061 + cpd00011
aspartate-semialdehyde dehydrogenase	cpd00346 + cpd00005 + cpd00009 = cpd01977 + cpd00005
aspartate-semialdehyde dehydrogenase	cpd00346 + cpd00005 + cpd00009 = cpd01977 + cpd00005
homoserine dehydrogenase	cpd00227 + cpd00003 = cpd00346 + cpd00004
homoserine dehydrogenase	cpd00227 + cpd00005 = cpd00346 + cpd00005
aspartate kinase	cpd00002 + cpd00041 = cpd00005 + cpd01977
glycerol dehydrogenase	cpd00080 + cpd00003 = cpd00095 + cpd00004
adenylosuccinate lyase	cpd02375 = cpd00106 + cpd00018
sucrose synthase	cpd00026 + cpd00072 = cpd00014 + cpd00076
sucrose synthase	cpd00387 + cpd00072 = cpd00005 + cpd00076
quinate dehydrogenase	cpd00248 + cpd00003 = cpd00699 + cpd00004
shikimate dehydrogenase	cpd00383 + cpd00005 = cpd01716 + cpd00005
glucose-6-phosphate dehydrogenase	cpd00079 + cpd00005 = cpd00911 + cpd00005
transaldolase	cpd00238 + cpd00102 = cpd00236 + cpd00072
transaldolase	cpd00072 + cpd00102 = cpd00072 + cpd00102
transaldolase	cpd00238 + cpd00102 = cpd00236 + cpd00072
succinate-CoA ligase (ADP forming)	cpd00002 + cpd00036 + cpd00010 = cpd00005 + cpd00002 + cpd00078
myosin ATPase	cpd00002 + cpd00001 = cpd00005 + cpd00009
myosin ATPase	cpd00068 + cpd00001 = cpd00090 + cpd00009
myosin ATPase	cpd00038 + cpd00001 = cpd00031 + cpd00009
nucleoside-phosphate kinase	cpd00062 + cpd00091 = cpd00014
nucleoside-phosphate kinase	cpd00002 + cpd00014 = cpd00005 + cpd00062
mannitol-1-phosphate dehydrogenase	cpd27436 + cpd00003 = cpd00072 + cpd00004
glyoxylate reductase	cpd00139 + cpd00003 = cpd00040 + cpd00004
glycine hydroxymethyltransferase	cpd00033 + cpd00055 = cpd00054
glycine hydroxymethyltransferase	cpd00033 + cpd00071 = cpd00161
glycine hydroxymethyltransferase	cpd00125 + cpd00033 + cpd00001 = cpd00087 + cpd00054
glutaminase	cpd00053 + cpd00001 = cpd00023 + cpd00013
L-ribulose-phosphate 4-epimerase	cpd00808 = cpd00198
L-rhamnose isomerase	cpd00396 = cpd00642
dephospho-CoA kinase	cpd00002 + cpd00655 = cpd00005 + cpd00010
retinal isomerase	cpd00304 = cpd01430
ribulose-phosphate 3-epimerase	cpd00171 = cpd00198
glucosamine-6-phosphate isomerase	cpd00288 + cpd00001 = cpd00072 + cpd00013
mannose isomerase	cpd00368 = cpd00198
mannose isomerase	cpd00083 = cpd00072
mannose isomerase	cpd00900 = cpd34631
glycine formiminotransferase	cpd00502 + cpd00033 = cpd01762 + cpd00087
glycine amidinotransferase	cpd00051 + cpd00033 = cpd00064 + cpd00451
phosphoacetylglucosamine mutase	cpd02611 = cpd00293
isocitrate lyase	cpd00260 = cpd00036 + cpd00040
citrate (pro-3S)-lyase	cpd00137 = cpd00029 + cpd00032
thetin-homocysteine S-methyltransferase	cpd00266 + cpd00019 = cpd00756 + cpd00017
thetin-homocysteine S-methyltransferase	cpd02027 + cpd00019 = cpd00017
thetin-homocysteine S-methyltransferase	cpd00740 + cpd00019 = cpd00450 + cpd00017
L-xylulose reductase	cpd00306 + cpd00005 = cpd00261 + cpd00005
UDPglucose 4-epimerase	cpd00026 = cpd00043
ornithine carbamoyltransferase	cpd00146 + cpd00064 = cpd00274 + cpd00009
hexokinase	cpd00002 + cpd00026 = cpd00005 + cpd00079
hexokinase	cpd00002 + cpd00072 = cpd00005 + cpd00072
hexokinase	cpd00002 + cpd00083 = cpd00005 + cpd00235
3-hydroxyisobutyrate dehydrogenase	cpd00876 + cpd00003 = cpd00287 + cpd00004
dihydrolipoamide dehydrogenase	cpd00449 + cpd00003 = cpd00213 + cpd00004
ribitol dehydrogenase	cpd00366 + cpd00003 = cpd00171 + cpd00004
adenylosuccinate synthase	cpd00038 + cpd00114 + cpd00041 = cpd00031 + cpd00002 + cpd02375
L-arabinose isomerase	cpd00224 = cpd00397
cytidylate kinase	cpd00002 + cpd00206 = cpd00005 + cpd00533
cytidylate kinase	cpd00002 + cpd00046 = cpd00005 + cpd00096
sulfate adenylyltransferase	cpd00002 + cpd00044 = cpd00044 + cpd00002
sulfate adenylyltransferase	cpd00002 + cpd00044 = cpd00044 + cpd00002
sulfate adenylyltransferase and inorganic pyrophosphatase	cpd00002 + cpd00044 + cpd00001 = cpd00044 + cpd00009
sulfate adenylyltransferase and inorganic pyrophosphatase	cpd00002 + cpd00044 + cpd00001 = cpd00009 + cpd00044
methylaspartate ammonia-lyase	cpd02273 = cpd01194 + cpd00013
gluconate 2-dehydrogenase	cpd00176 + cpd00005 = cpd00176 + cpd00005
3-hydroxypropionate dehydrogenase	cpd00745 + cpd00003 = cpd00191 + cpd00004
adenosylhomocysteinase	cpd00019 + cpd00001 = cpd00002 + cpd00019
D-xylulose reductase	cpd33240 + cpd00003 = cpd03884 + cpd00004
D-xylulose reductase	cpd01066 + cpd00003 = cpd00212 + cpd00004
D-xylulose reductase	cpd00366 + cpd00003 = cpd00171 + cpd00004
D-xylulose reductase	cpd00491 + cpd00003 = cpd00072 + cpd00004
D-xylulose reductase	cpd00228 + cpd00003 = cpd01395 + cpd00004
D-xylulose reductase	cpd00306 + cpd00003 = cpd00198 + cpd00004
asparaginase	cpd00132 + cpd00001 = cpd00041 + cpd00013
4-aminobutyrate transaminase	cpd00281 + cpd00024 = cpd00199 + cpd00023
sorbitol-6-phosphate dehydrogenase	cpd00491 + cpd00003 = cpd00072 + cpd00004
glutamate formiminotransferase	cpd00502 + cpd00023 = cpd00344 + cpd00087
glucuronate isomerase	cpd00280 = cpd00437
glucuronate isomerase	cpd00144 = cpd00672
N-acetylneuraminate lyase	cpd00112 = cpd00492 + cpd00020
N-acetylneuraminate lyase	cpd02155 = cpd02219 + cpd00020
UDParabinose 4-epimerase	cpd00691 = cpd00163
UDPglucuronate 4-epimerase	cpd00144 = cpd00472
creatine kinase and myosin ATPase	cpd01550 + cpd00001 = cpd00250 + cpd00009
lactaldehyde reductase (NADPH)	cpd00453 + cpd00005 = cpd00334 + cpd00005
lysine racemase	cpd00039 = cpd00549
methenyltetrahydrofolate cyclohydrolase	cpd00347 + cpd00001 = cpd00201
sucrose-phosphate synthase	cpd00026 + cpd00072 = cpd00014 + cpd01693
4-hydroxybutyrate dehydrogenase	cpd00227 + cpd00003 = cpd00199 + cpd00004
alanine dehydrogenase	cpd00035 + cpd00003 + cpd00001 = cpd00020 + cpd00004 + cpd00013
deoxyribose-phosphate aldolase	cpd00510 = cpd00102 + cpd00071
arabinose-5-phosphate isomerase	cpd00817 = cpd00171
transketolase	cpd00072 + cpd00102 = cpd00236 + cpd00198
transketolase	cpd00072 + cpd00229 = cpd01395 + cpd00236
transketolase	cpd00238 + cpd00102 = cpd00101 + cpd00198
dihydroorotate dehydrogenase	cpd00282 + cpd00003 = cpd00247 + cpd00004
leucine dehydrogenase	cpd00107 + cpd00003 + cpd00001 = cpd00200 + cpd00004 + cpd00013
phosphoserine phosphatase	cpd00738 + cpd00001 = cpd00054 + cpd00009
methylmalonyl-CoA carboxyltransferase	cpd00032 + cpd00086 = cpd00020 + cpd00519
guanosine phosphorylase	cpd00031 + cpd00009 = cpd00207 + cpd00475
2-dehydro-3-deoxyphosphogluconate aldolase	cpd02711 = cpd00020 + cpd00102
2-dehydro-3-deoxy-6-phosphogalactonate aldolase	cpd00945 = cpd00020 + cpd00102
galactose dehydrogenase	cpd00043 + cpd00003 = cpd02143 + cpd00004
glycine dehydrogenase	cpd00033 + cpd00003 + cpd00001 = cpd00040 + cpd00004 + cpd00013
formate-tetrahydrofolate ligase	cpd00002 + cpd00047 + cpd00087 = cpd00005 + cpd00002 + cpd00201
succinyldiaminopimelate transaminase	cpd02724 + cpd00023 = cpd02698 + cpd00024
erythrose isomerase	cpd00236 = cpd01383
D-alanine 2-hydroxymethyltransferase	cpd01958 = cpd00550 + cpd00055
D-alanine 2-hydroxymethyltransferase	cpd01432 + cpd00087 = cpd00125 + cpd00117 + cpd00001
D-alanine 2-hydroxymethyltransferase	cpd01432 = cpd00117 + cpd00055
nucleoside deoxyribosyltransferase	cpd00184 + cpd00003 = cpd00115 + cpd00151
nucleoside deoxyribosyltransferase	cpd00976 + cpd00003 = cpd00115 + cpd00114
chymosin	cpd00976 + cpd00003 = cpd00115 + cpd00114
mannitol dehydrogenase	cpd00314 + cpd00003 = cpd00072 + cpd00004
mannitol dehydrogenase	cpd00314 + cpd00005 = cpd00072 + cpd00005
dihydrofolate reductase	cpd00087 + cpd00005 = cpd00330 + cpd00005
dihydrofolate reductase	cpd00330 = cpd00087 + cpd00087
4-hydroxy-2-oxoglutarate aldolase	cpd00830 = cpd00020 + cpd00040
glutathione reductase (NAD(P)H)	cpd00042 + cpd00005 = cpd00111 + cpd00005
glutathione reductase (NAD(P)H)	cpd00042 + cpd00003 = cpd00111 + cpd00004
D-glutamate cyclase	cpd00186 = cpd01512 + cpd00001
4-hydroxyproline epimerase	cpd00851 = cpd02175
methylaspartate mutase	cpd02273 = cpd00023
oxamate carbamoyltransferase	cpd00146 + cpd00596 = cpd00009 + cpd22507
tetrahydroxypteridine cycloisomerase	cpd02033 = cpd02112
carnitine O-palmitoyltransferase	cpd00134 + cpd00266 = cpd00010 + cpd01915
D-lyxose ketol-isomerase	cpd00368 = cpd00198
oxaloacetate tautomerase	cpd00032 = cpd02469
2-deoxy-D-gluconate dehydrogenase	cpd01795 + cpd00003 = cpd02441 + cpd00004
N-acylglucosamine 2-epimerase	cpd00037 = cpd00492
N-acylglucosamine-6-phosphate 2-epimerase	cpd00293 = cpd02612
glucose dehydrogenase (NADP+)	cpd00026 + cpd00005 = cpd00170 + cpd00005
D-alanine transaminase	cpd00117 + cpd00024 = cpd00020 + cpd00186
glucose-1-phosphate cytidylyltransferase	cpd00052 + cpd00089 = cpd00390 + cpd00002
glucan 1,4-a-glucosidase	cpd00179 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd01262 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd00217 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd00537 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd01461 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd03718 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd01329 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd15495 + cpd00001 = cpd00026
glucan 1,4-a-glucosidase	cpd00537 + cpd00001 = cpd00026
phosphoglycerate dehydrogenase	cpd00169 + cpd00003 = cpd02069 + cpd00004
glyoxylate reductase (NADP+)	cpd00139 + cpd00005 = cpd00040 + cpd00005
glutathione-CoA-glutathione transhydrogenase	cpd00010 + cpd00111 = cpd00682 + cpd00042
glycine-oxaloacetate transaminase	cpd00033 + cpd00032 = cpd00040 + cpd00041
dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	cpd02616 + cpd00024 = cpd00521 + cpd00023
CDPabequose epimerase	cpd02264 = cpd02265
homocysteine S-methyltransferase	cpd00017 + cpd00019 = cpd00019 + cpd00017
aldehyde reductase	cpd00306 + cpd00005 = cpd00154 + cpd00005
choline O-acetyltransferase	cpd00022 + cpd00098 = cpd00010 + cpd01367
glutamate N-acetyltransferase	cpd00342 + cpd00023 = cpd00064 + cpd00477
phosphoenolpyruvate carboxykinase (diphosphate)	cpd00008 + cpd00032 + cpd00001 = cpd00002 + cpd00061 + cpd00011
glutamate dehydrogenase (NADP+)	cpd00023 + cpd00005 + cpd00001 = cpd00024 + cpd00005 + cpd00013
phosphoserine transaminase	cpd02069 + cpd00023 = cpd00024 + cpd00738
linoleate isomerase	cpd01122 = cpd02510
ATP citrate(pro-3S)-lyase	cpd00002 + cpd00137 + cpd00010 = cpd00005 + cpd00002 + cpd00022 + cpd00032
succinate dehydrogenase	cpd00036 + cpd00007 = cpd00106 + cpd00001
NADH dehydrogenase	cpd00004 + cpd00007 = cpd00003 + cpd00001
amino-acid racemase	cpd00107 = cpd01106
methylenetetrahydrofolate dehydrogenase (NADP+)	cpd00125 + cpd00005 = cpd00347 + cpd00005
histidine ammonia-lyase	cpd00119 = cpd00581 + cpd00013
adenosine deaminase	cpd00002 + cpd00001 = cpd00068 + cpd00013
carnitine dehydrogenase	cpd00266 + cpd00003 = cpd01715 + cpd00004
carnitine dehydrogenase	cpd10719 + cpd00003 = cpd01715 + cpd00004
pyridoxamine-pyruvate transaminase	cpd00419 + cpd00020 = cpd00016 + cpd00035
alanine aminotransferase	cpd00035 + cpd00024 = cpd00020 + cpd00023
pyruvate,orthophosphate dikinase	cpd00002 + cpd00020 + cpd00009 = cpd00018 + cpd00061 + cpd00002
phenylalanine ammonia-lyase	cpd00066 = cpd00333 + cpd00013
indolelactate dehydrogenase	cpd01394 + cpd00003 = cpd00278 + cpd00004
L-mannose ketol-isomerase	cpd00396 = cpd00642
glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase	cpd00102 + cpd00005 + cpd00003 + cpd00009 = cpd00169 + cpd00002 + cpd00004
phenylpyruvate tautomerase	cpd00143 = cpd01784
2-dehydro-3-deoxy-L-pentonate aldolase	cpd00520 = cpd00020 + cpd00229
phosphogluconate dehydrogenase (decarboxylating)	cpd00284 + cpd00005 + cpd00001 = cpd00171 + cpd00005 + cpd00011
diaminopimelate epimerase	cpd00504 = cpd00516
nucleoside-triphosphate-adenylate kinase	cpd00038 + cpd00018 = cpd00005 + cpd00031
2-aminoadipate transaminase	cpd00705 + cpd00024 = cpd00269 + cpd00023
2,4-diaminopentanoate dehydrogenase	cpd02448 + cpd00003 + cpd00001 = cpd02121 + cpd00004 + cpd00013
glyceraldehyde-3-phocphate dehydrogenase and phosphoglycerate kinase	cpd00102 + cpd00005 + cpd00003 + cpd00009 = cpd00169 + cpd00002 + cpd00004
cytidine deaminase	cpd00046 + cpd00001 = cpd00014 + cpd00013
cytidine deaminase	cpd21821 + cpd00001 = cpd00014 + cpd00187
sepiapterin reductase	cpd01895 + cpd00005 = cpd00622 + cpd00005
methylitaconate ?-isomerase	cpd01545 = cpd00684
2-methyleneglutarate mutase	cpd01876 = cpd01545
guanylate kinase	cpd00002 + cpd00126 = cpd00005 + cpd00031
guanylate kinase	cpd00002 + cpd00296 = cpd00005 + cpd00295
phosphate acetyltransferase and formate C-acetyltransferase	cpd00020 + cpd00009 = cpd00196 + cpd00047
L-erythro-3,5-diaminohexanoate dehydrogenase	cpd00874 + cpd00003 + cpd00001 = cpd02294 + cpd00004 + cpd00013
pyrophosphate-serine phosphotransferase	cpd00002 + cpd00054 = cpd00009 + cpd00738
glutamine-pyruvate aminotransaminase	cpd00053 + cpd00040 = cpd00695 + cpd00033
glutamine-pyruvate aminotransaminase	cpd00053 + cpd00020 = cpd00695 + cpd00035
3-hydroxybenzyl-alcohol dehydrogenase	cpd02129 + cpd00005 = cpd01964 + cpd00005
catalase	cpd00025 = cpd00007 + cpd00001
cyclomaltodextrin glucanotransferase and a-amylase	cpd09394 + cpd00001 = cpd00026
cyclomaltodextrin glucanotransferase and a-amylase	cpd24451 + cpd00001 = cpd00026
citrate (si)-synthase	cpd00032 + cpd00022 + cpd00001 = cpd00137 + cpd00010
6-phosphofructokinase	cpd00002 + cpd00072 = cpd00005 + cpd00290
thymidylate synthase	cpd00125 + cpd00299 = cpd00330 + cpd00298
D-ornithine 4,5-aminomutase	cpd00404 = cpd02448
D-arabino-3-hexulose phosphate formaldehyde lyase	cpd03583 = cpd00171 + cpd00055
phospho-3-hexuloisomerase	cpd03583 = cpd00072
formate C-acetyltransferase	cpd00022 + cpd00047 = cpd00010 + cpd00020
urocanate hydratase	cpd00581 + cpd00001 = cpd02311
ribose isomerase	cpd00101 = cpd00171
ethanolamine-phosphate cytidylyltransferase	cpd00052 + cpd00285 = cpd00002 + cpd00444
coniferyl-alcohol dehydrogenase	cpd00458 + cpd00005 = cpd01733 + cpd00005
penicillin amidase	cpd03292 + cpd00001 = cpd01896 + cpd00426
penicillin amidase	cpd04882 + cpd00001 = cpd01696 + cpd04878
penicillin amidase	cpd03323 + cpd00001 = cpd00426 + cpd00033
penicillin amidase	cpd04194 + cpd00001 = cpd01896 + cpd02202
cytochrome-c oxidase	cpd00110 + cpd00007 = cpd00109 + cpd00001
fructose-biphosphatase	cpd00290 + cpd00001 = cpd00072 + cpd00009
phosphomannomutase	cpd00485 = cpd00235
formate dehydrogenase	cpd00047 + cpd00003 + cpd00001 = cpd00011 + cpd00004
tryptophan synthase	cpd00278 + cpd00054 = cpd00065 + cpd00001
tryptophan synthase	cpd00054 = cpd00020 + cpd00013
NAD+ kinase	cpd00002 + cpd00003 = cpd00005 + cpd00005
urate oxidase and catalase	cpd00300 + cpd00007 + cpd00001 = cpd01092 + cpd00011
acetate CoA-transferase	cpd00022 + cpd00142 = cpd00279 + cpd00029
choline-phosphate cytidylyltransferase	cpd00052 + cpd00431 = cpd00002 + cpd00256
succinate-CoA ligase (GDP-forming)	cpd00038 + cpd00036 + cpd00010 = cpd00031 + cpd00002 + cpd00078
cholesterol oxidase	cpd00160 + cpd00007 = cpd00463 + cpd00025
cholesterol oxidase and catalase	cpd00160 + cpd00007 = cpd00463 + cpd00001
_-amylase	cpd00537 + cpd00001 = cpd00179
2,3-dimethylmalate lyase	cpd01705 = cpd00020 + cpd00020
hydrogen dehydrogenase	cpd00001 + cpd00003 = cpd00004
adenosine nucleosidase	cpd00002 + cpd00001 = cpd00003 + cpd00101
aminoacylase	cpd01756 + cpd00001 = cpd00029 + cpd00017
aminoacylase	cpd12524 + cpd00001 = cpd00029 + cpd00035
aminoacylase	cpd32466 + cpd00001 = cpd00029 + cpd00156
aminoacylase	cpd01756 + cpd00001 = cpd00017 + cpd00029
sorbitol-6-phosphate dehydrogenase (NADP+)	cpd00491 + cpd00005 = cpd00079 + cpd00005
serine-pyruvate transaminase	cpd00035 + cpd00145 = cpd00054 + cpd00020
glycerol kinase	cpd00002 + cpd00080 = cpd00005 + cpd00080
hypoxanthine phosphoribosyltransferase	cpd00126 + cpd00114 = cpd00114 + cpd00207
formate dehydrogenase (NADP+)	cpd00047 + cpd00005 + cpd00001 = cpd00011 + cpd00005
dimethylmaleate hydratase	cpd02292 = cpd00684 + cpd00001
methylenetetrahydrofolate dehydrogenase (NAD+)	cpd00125 + cpd00003 = cpd00347 + cpd00004
Ca2+-transporting ATPase	cpd00002 + cpd00001 = cpd00005 + cpd00009
glucose-6-phosphate dehydrogenase and 6-phosphogluconolactonase	cpd00079 + cpd00005 + cpd00001 = cpd00284 + cpd00005
AMP nucleosidase	cpd00018 + cpd00001 = cpd00003 + cpd00101
_-galactosidase	cpd00043 + cpd00001 = cpd00043 + cpd00026
_-galactosidase	cpd04349 + cpd00001 = cpd00043 + cpd00072
_-galactosidase	cpd22252 + cpd00001 = cpd00043 + cpd00026
alanopine dehydrogenase	cpd02051 + cpd00003 + cpd00001 = cpd00035 + cpd00020 + cpd00004
1-phosphatidylinositol kinase	cpd00002 + cpd11715 = cpd00005 + cpd11837
aryl-alcohol dehydrogenase	cpd00435 + cpd00003 = cpd00225 + cpd00004
guanidinoacetate kinase	cpd00002 + cpd00451 = cpd00005 + cpd02023
a-mannosidase	cpd00958 + cpd00001 = cpd00083
a-mannosidase	cpd02989 + cpd00001 = cpd02942 + cpd00083
a-mannosidase	cpd02942 + cpd00001 = cpd00958 + cpd00083
L-iditol 2-dehydrogenase	cpd01307 + cpd00003 = cpd00171 + cpd00004
L-iditol 2-dehydrogenase	cpd00314 + cpd00003 = cpd00072 + cpd00004
L-iditol 2-dehydrogenase	cpd00491 + cpd00003 = cpd00072 + cpd00004
L-iditol 2-dehydrogenase	cpd01066 + cpd00003 = cpd00212 + cpd00004
