,separated enzymes,conjoined enzymes
51,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),acetaldehyde dehydrogenase (acetylating)
52,xylose isomerase,arabinose isomerase
53,acetate-CoA ligase,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)
54,NAD(P)+ transhydrogenase,xylose isomerase
55,3-hydroxybutyrate dehydrogenase,acetate-CoA ligase
56,acetyl-CoA C-acetyltransferase,NAD(P)+ transhydrogenase
57,3-oxoacid CoA-transferase,3-hydroxybutyrate dehydrogenase
58,butyrate-CoA ligase,acetyl-CoA C-acetyltransferase
59,trimetaphosphatase,3-oxoacid CoA-transferase
60,glutamate dehydrogenase (NAD(P)+),butyrate-CoA ligase
61,arginosuccinate lyase,trimetaphosphatase
62,dipeptidyl-peptidase I,glutamate dehydrogenase (NAD(P)+)
63,3(or 17)_-hydroxysteroid dehydrogenase,arginosuccinate lyase
64,ribose-5-phosphate isomerase,dipeptidyl-peptidase I
65,nucleoside-diphosphate kinase,3(or 17)_-hydroxysteroid dehydrogenase
66,ketotetraose-phosphate aldolase,ribose-5-phosphate isomerase
67,butyryl-CoA dehydrogenase,nucleoside-diphosphate kinase
68,glutamate-ammonia ligase,ketotetraose-phosphate aldolase
69,dihydroorotase,butyryl-CoA dehydrogenase
70,carboxymethylhydantoinase,glutamate-ammonia ligase
71,3-dehydroquinate dehydratase,dihydroorotase
72,muconate cycloisomerase,carboxymethylhydantoinase
73,imidazole N-acetyltransferase,3-dehydroquinate dehydratase
74,phosphoenolpyruvate carboxykinase (GTP),muconate cycloisomerase
75,3-hydroxyacyl-CoA dehydrogenase,imidazole N-acetyltransferase and phosphate acetyltransferase
76,aspartate kinase,phosphoenolpyruvate carboxykinase (GTP)
77,aspartate-semialdehyde dehydrogenase,3-hydroxyacyl-CoA dehydrogenase
78,homoserine dehydrogenase,aspartate kinase
79,glycerol dehydrogenase,aspartate-semialdehyde dehydrogenase
80,adenylosuccinate lyase,homoserine dehydrogenase
81,sucrose synthase,glycerol dehydrogenase
82,quinate dehydrogenase,adenylosuccinate lyase
83,shikimate dehydrogenase,sucrose synthase
84,glucose-6-phosphate dehydrogenase,quinate dehydrogenase
85,transaldolase,shikimate dehydrogenase
86,D-lactate dehydrogenase,glucose-6-phosphate dehydrogenase
87,succinate-CoA ligase (ADP forming),transaldolase
88,myosin ATPase,D-lactate dehydrogenase
89,orotate phosphoribosyltransferase,succinate-CoA ligase (ADP forming)
90,nucleoside-phosphate kinase,myosin ATPase
91,UTP-glucose-1-phosphate uridylyltransferase,orotate phosphoribosyltransferase
92,trypsin,nucleoside-phosphate kinase
93,mannitol-1-phosphate dehydrogenase,UTP-glucose-1-phosphate uridylyltransferase
94,glyoxylate reductase,trypsin
95,glycine hydroxymethyltransferase,mannitol-1-phosphate dehydrogenase
96,histidinol-phosphate transaminase,glyoxylate reductase
97,glutaminase,glycine hydroxymethyltransferase
98,L-ribulose-phosphate 4-epimerase,histidinol-phosphate transaminase
99,L-rhamnose isomerase,glutaminase
100,dephospho-CoA kinase,L-ribulose-phosphate 4-epimerase
101,retinal isomerase,L-rhamnose isomerase
102,ribulose-phosphate 3-epimerase,dephospho-CoA kinase
103,ribulose-biphosphate carboxylase,retinal isomerase
104,myo-inositol 2-dehydrogenase,ribulose-phosphate 3-epimerase
105,glucosamine-6-phosphate isomerase,ribulose-biphosphate carboxylase
106,mannose isomerase,myo-inositol 2-dehydrogenase
107,glycine formiminotransferase,glucosamine-6-phosphate isomerase
108,glycine amidinotransferase,mannose isomerase
109,phosphoacetylglucosamine mutase,glycine formiminotransferase
110,isocitrate lyase,glycine amidinotransferase
111,citrate (pro-3S)-lyase,phosphoacetylglucosamine mutase
112,enoyl-CoA hydratase,isocitrate lyase
113,3a-hydroxysteroid dehydrogenase,citrate (pro-3S)-lyase
114,thetin-homocysteine S-methyltransferase,enoyl-CoA hydratase
115,adenine phosphoribosyltransferase,3a-hydroxysteroid dehydrogenase
116,aryl sulfotransferase,thetin-homocysteine S-methyltransferase
117,glycerate dehydrogenase,adenine phosphoribosyltransferase
118,L-xylulose reductase,aryl sulfotransferase
119,ornithine carbamoyltransferase,glycerate dehydrogenase
120,hexokinase,L-xylulose reductase
121,3-hydroxyisobutyrate dehydrogenase,UDPglucose 4-epimerase
122,dihydrolipoamide dehydrogenase,ornithine carbamoyltransferase
123,"a,a-trehalose-phosphate synthase (UDP-forming)",hexokinase
124,adenylosuccinate synthase,3-hydroxyisobutyrate dehydrogenase
125,ribitol dehydrogenase,dihydrolipoamide dehydrogenase
126,L-arabinose isomerase,"a,a-trehalose-phosphate synthase (UDP-forming)"
127,estradiol 17_-dehydrogenase,adenylosuccinate synthase
128,cytidylate kinase,ribitol dehydrogenase
129,sulfate adenylyltransferase,L-arabinose isomerase
130,cellobiose phosphorylase,estradiol 17_-dehydrogenase
131,methylaspartate ammonia-lyase,cytidylate kinase
132,gluconate 2-dehydrogenase,sulfate adenylyltransferase
133,3-hydroxypropionate dehydrogenase,sulfate adenylyltransferase and inorganic pyrophosphatase
134,adenosylhomocysteinase,cellobiose phosphorylase
135,D-xylulose reductase,methylaspartate ammonia-lyase
136,asparaginase,gluconate 2-dehydrogenase
137,4-aminobutyrate transaminase,3-hydroxypropionate dehydrogenase
138,sorbitol-6-phosphate dehydrogenase,adenosylhomocysteinase
139,UDP-N-acetylglucosamine pyrophosphorylase,D-xylulose reductase
140,glutamate formiminotransferase,asparaginase
141,_-alanyl-CoA ammonia lyase,4-aminobutyrate transaminase
142,glucuronate isomerase,sorbitol-6-phosphate dehydrogenase
143,N-acetylneuraminate lyase,UDP-N-acetylglucosamine pyrophosphorylase
144,UDParabinose 4-epimerase,glutamate formiminotransferase
145,UDPglucuronate 4-epimerase,_-alanyl-CoA ammonia lyase
146,lactaldehyde reductase (NADPH),glucuronate isomerase
147,lysine racemase,N-acetylneuraminate lyase
148,carbamate kinase,UDParabinose 4-epimerase
149,methenyltetrahydrofolate cyclohydrolase,UDPglucuronate 4-epimerase
150,UDPglucose-hexose-1-phosphate uridylyltransferase,creatine kinase and myosin ATPase
151,sucrose-phosphate synthase,lactaldehyde reductase (NADPH)
152,4-hydroxybutyrate dehydrogenase,lysine racemase
153,alanine dehydrogenase,carbamate kinase
154,deoxyribose-phosphate aldolase,methenyltetrahydrofolate cyclohydrolase
155,arginosuccinate synthase,UDPglucose-hexose-1-phosphate uridylyltransferase
156,arabinose-5-phosphate isomerase,sucrose-phosphate synthase
157,galactokinase,4-hydroxybutyrate dehydrogenase
158,_-phosphoglucomutase,alanine dehydrogenase
159,valine-tRNA ligase,deoxyribose-phosphate aldolase
160,transketolase,arginosuccinate synthase
161,2-hydroxy-3-oxopropionate reductase,arabinose-5-phosphate isomerase
162,glucose-1-phosphate thymidylyltransferase,galactokinase
163,dihydroorotate dehydrogenase,_-phosphoglucomutase
164,thiamin-phosphate pyrophosphorylase,valine-tRNA ligase
165,taurocyamine kinase,transketolase
166,leucyl aminopeptidase,2-hydroxy-3-oxopropionate reductase
167,gly-X carboxypeptidase,glucose-1-phosphate thymidylyltransferase
168,leucine dehydrogenase,dihydroorotate dehydrogenase
169,phosphoserine phosphatase,thiamin-phosphate pyrophosphorylase
170,methylmalonyl-CoA carboxyltransferase,taurocyamine kinase
171,guanosine phosphorylase,leucyl aminopeptidase
172,2-dehydro-3-deoxyphosphogluconate aldolase,gly-X carboxypeptidase
173,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,leucine dehydrogenase
174,galactose dehydrogenase,phosphoserine phosphatase
175,glucose-1-phosphate adenylyltransferase,methylmalonyl-CoA carboxyltransferase
176,L-fuculose-phosphate aldolase,guanosine phosphorylase
177,malate synthase,2-dehydro-3-deoxyphosphogluconate aldolase
178,glycine dehydrogenase,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
179,propanoyl-CoA carboxylase,galactose dehydrogenase
180,_-alanine-pyruvate transaminase,glucose-1-phosphate adenylyltransferase
181,formate-tetrahydrofolate ligase,L-fuculose-phosphate aldolase
182,succinyldiaminopimelate transaminase,malate synthase
183,protein kinase,glycine dehydrogenase
184,erythrose isomerase,propanoyl-CoA carboxylase
185,D-alanine 2-hydroxymethyltransferase,_-alanine-pyruvate transaminase
186,methylmalonyl-CoA epimerase,formate-tetrahydrofolate ligase
187,nucleoside deoxyribosyltransferase,succinyldiaminopimelate transaminase
188,chymosin,protein kinase
189,mannitol dehydrogenase,erythrose isomerase
190,carnitine O-acetyltransferase,D-alanine 2-hydroxymethyltransferase
191,dihydrofolate reductase,methylmalonyl-CoA epimerase
192,4-hydroxy-2-oxoglutarate aldolase,nucleoside deoxyribosyltransferase
193,glutathione reductase (NAD(P)H),chymosin
194,D-glutamate cyclase,mannitol dehydrogenase
195,21-hydroxysteroid dehydrogenase (NAD+),carnitine O-acetyltransferase
196,gluconate 5-dehydrogenase,dihydrofolate reductase
197,glyoxylate dehydrogenase (acylating),4-hydroxy-2-oxoglutarate aldolase
198,4-hydroxyproline epimerase,glutathione reductase (NAD(P)H)
199,L-threonate dehydrogenase,D-glutamate cyclase
200,methylaspartate mutase,21-hydroxysteroid dehydrogenase (NAD+)
201,oxamate carbamoyltransferase,gluconate 5-dehydrogenase
202,methylmalonyl-CoA mutase,glyoxylate dehydrogenase (acylating)
203,tetrahydroxypteridine cycloisomerase,4-hydroxyproline epimerase
204,thioredoxin reductase (NADPH),L-threonate dehydrogenase
205,carnitine O-palmitoyltransferase,methylaspartate mutase
206,mannose-1-phosphate guanylyltransferase,oxamate carbamoyltransferase
207,D-lyxose ketol-isomerase,methylmalonyl-CoA mutase
208,oxaloacetate tautomerase,tetrahydroxypteridine cycloisomerase
209,pancreatic ribonuclease,thioredoxin reductase (NADPH)
210,papain,carnitine O-palmitoyltransferase
211,rhamnulose-1-phosphate aldolase,mannose-1-phosphate guanylyltransferase
212,2-deoxy-D-gluconate dehydrogenase,D-lyxose ketol-isomerase
213,ureidoglycolate lyase,oxaloacetate tautomerase
214,N-acylglucosamine-6-phosphate 2-epimerase,pancreatic ribonuclease
215,N-acylglucosamine 2-epimerase,papain
216,"5,10-methylenetetrahydrofolate reductase (FADH2)",rhamnulose-1-phosphate aldolase
217,glucose dehydrogenase (NADP+),2-deoxy-D-gluconate dehydrogenase
218,D-alanine transaminase,ureidoglycolate lyase
219,glucose-1-phosphate cytidylyltransferase,N-acylglucosamine-6-phosphate 2-epimerase
220,"glucan 1,4-a-glucosidase",N-acylglucosamine 2-epimerase
221,isopentenyl-diphosphate ?-isomerase,"5,10-methylenetetrahydrofolate reductase (FADH2)"
222,ornithine-oxo-acid transaminase,glucose dehydrogenase (NADP+)
223,phosphoglycerate dehydrogenase,D-alanine transaminase
224,lactate-malate transhydrogenase,glucose-1-phosphate cytidylyltransferase
225,fructose 5-dehydrogenase (NADP+),"glucan 1,4-a-glucosidase"
226,glyoxylate reductase (NADP+),isopentenyl-diphosphate ?-isomerase
227,glutathione-CoA-glutathione transhydrogenase,ornithine-oxo-acid transaminase
228,levansucrase,phosphoglycerate dehydrogenase
229,glycine-oxaloacetate transaminase,lactate-malate transhydrogenase
230,laminaribiose phosphorylase,fructose 5-dehydrogenase (NADP+)
231,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",glyoxylate reductase (NADP+)
232,CDPabequose epimerase,glutathione-CoA-glutathione transhydrogenase
233,homocysteine S-methyltransferase,levansucrase
234,aldehyde reductase,glycine-oxaloacetate transaminase
235,choline O-acetyltransferase,laminaribiose phosphorylase
236,glutamate N-acetyltransferase,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase"
237,3-oxoacyl-[acyl-carrier-protein] reductase,CDPabequose epimerase
238,glucose-1-phosphate guanylyltransferase,homocysteine S-methyltransferase
239,phosphoenolpyruvate carboxykinase (diphosphate),aldehyde reductase
240,pyruvate carboxylase,choline O-acetyltransferase
241,citramalate lyase,glutamate N-acetyltransferase
242,glutamate dehydrogenase (NADP+),3-oxoacyl-[acyl-carrier-protein] reductase
243,phosphoserine transaminase,glucose-1-phosphate guanylyltransferase
244,linoleate isomerase,phosphoenolpyruvate carboxykinase (diphosphate)
245,ATP citrate(pro-3S)-lyase,pyruvate carboxylase
246,succinate dehydrogenase,citramalate lyase
247,NADH dehydrogenase,glutamate dehydrogenase (NADP+)
248,pyrimidine-nucleoside phosphorylase,phosphoserine transaminase
249,amino-acid racemase,linoleate isomerase
250,allantoicase,ATP citrate(pro-3S)-lyase
251,methylenetetrahydrofolate dehydrogenase (NADP+),succinate dehydrogenase
252,histidine ammonia-lyase,NADH dehydrogenase
253,adenosine deaminase,pyrimidine-nucleoside phosphorylase
254,carnitine dehydrogenase,amino-acid racemase
255,pyridoxamine-pyruvate transaminase,allantoicase
256,glucoside 3-dehydrogenase,methylenetetrahydrofolate dehydrogenase (NADP+)
257,alanine aminotransferase,histidine ammonia-lyase
258,"pyruvate,orthophosphate dikinase",adenosine deaminase
259,phenylalanine ammonia-lyase,carnitine dehydrogenase
260,indolelactate dehydrogenase,pyridoxamine-pyruvate transaminase
261,L-mannose ketol-isomerase,glucoside 3-dehydrogenase
262,crotonoyl-[acyl-carrier-protein] hydratase,alanine aminotransferase
263,galactinol-raffinose galactosyltransferase,"pyruvate,orthophosphate dikinase"
264,phenylpyruvate tautomerase,phenylalanine ammonia-lyase
265,2-dehydro-3-deoxy-L-pentonate aldolase,indolelactate dehydrogenase
266,phosphodiesterase I,L-mannose ketol-isomerase
267,camphor 5-monooxygenase,crotonoyl-[acyl-carrier-protein] hydratase
268,phosphomevalonate kinase,galactinol-raffinose galactosyltransferase
269,ribose-phosphate pyrophosphokinase,glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase
270,phosphogluconate dehydrogenase (decarboxylating),phenylpyruvate tautomerase
271,diaminopimelate epimerase,2-dehydro-3-deoxy-L-pentonate aldolase
272,nucleoside-triphosphate-adenylate kinase,phosphodiesterase I
273,"lysine 2,3-aminomutase",camphor 5-monooxygenase
274,N-methyl-2-oxoglutaramate hydrolase,phosphomevalonate kinase
275,branched-chain-amino-acid transaminase,ribose-phosphate pyrophosphokinase
276,2-aminoadipate transaminase,phosphogluconate dehydrogenase (decarboxylating)
277,diiodophenylpyruvate reductase,diaminopimelate epimerase
278,"2,4-diaminopentanoate dehydrogenase",nucleoside-triphosphate-adenylate kinase
279,glyceraldehyde-3-phocphate dehydrogenase,"lysine 2,3-aminomutase"
280,cytidine deaminase,N-methyl-2-oxoglutaramate hydrolase
281,adenylate cyclase,branched-chain-amino-acid transaminase
282,sepiapterin reductase,2-aminoadipate transaminase
283,methylitaconate ?-isomerase,diiodophenylpyruvate reductase
284,2-methyleneglutarate mutase,"2,4-diaminopentanoate dehydrogenase"
285,glucuronate-1-phosphate uridylyltransferase,glyceraldehyde-3-phocphate dehydrogenase and phosphoglycerate kinase
286,ribonuclease T2,cytidine deaminase
287,guanylate kinase,adenylate cyclase
288,formate C-acetyltransferase,sepiapterin reductase
289,"L-erythro-3,5-diaminohexanoate dehydrogenase",methylitaconate ?-isomerase
290,pyrophosphate-serine phosphotransferase,2-methyleneglutarate mutase
291,glutamine-pyruvate aminotransaminase,glucuronate-1-phosphate uridylyltransferase
292,3-hydroxybenzyl-alcohol dehydrogenase,ribonuclease T2
293,ribonuclease (unclassified),guanylate kinase
294,glycerol dehydrogenase (NADP+),phosphate acetyltransferase and formate C-acetyltransferase
295,"a,a-trehalose phosphorylase","L-erythro-3,5-diaminohexanoate dehydrogenase"
296,catalase,pyrophosphate-serine phosphotransferase
297,a-amylase,glutamine-pyruvate aminotransaminase
298,glucose-6-phosphate 1-epimerase,3-hydroxybenzyl-alcohol dehydrogenase
299,6-phosphofructokinase,ribonuclease (unclassified)
300,malyl-CoA lyase,glycerol dehydrogenase (NADP+)
301,thymidylate synthase,"a,a-trehalose phosphorylase"
302,"D-ornithine 4,5-aminomutase",catalase
303,phosphohydrolase (unclassified),cyclomaltodextrin glucanotransferase and a-amylase
304,uridine phosphorylase,glucose-6-phosphate 1-epimerase
305,"3',5'-cyclic-nucleotide phosphodiesterase",citrate (si)-synthase
306,D-arabino-3-hexulose phosphate formaldehyde lyase,phosphate acetyltransferase and acetate kinase
307,phospho-3-hexuloisomerase,6-phosphofructokinase
308,15-hydroxyprostaglandin dehydrogenase (NAD+),malyl-CoA lyase
309,urocanate hydratase,thymidylate synthase
310,ribose isomerase,"D-ornithine 4,5-aminomutase"
311,pepsin A,phosphohydrolase (unclassified)
312,alkanal monooxygenase (FMN-linked),uridine phosphorylase
313,ethanolamine-phosphate cytidylyltransferase,"3',5'-cyclic-nucleotide phosphodiesterase"
314,coniferyl-alcohol dehydrogenase,D-arabino-3-hexulose phosphate formaldehyde lyase
315,penicillin amidase,phospho-3-hexuloisomerase
316,cytochrome-c oxidase,formate C-acetyltransferase
317,fructose-biphosphatase,15-hydroxyprostaglandin dehydrogenase (NAD+)
318,phosphomannomutase,urocanate hydratase
319,formate dehydrogenase,ribose isomerase
320,glucose oxidase,pepsin A
321,tryptophan synthase,alkanal monooxygenase (FMN-linked)
322,NAD+ kinase,ethanolamine-phosphate cytidylyltransferase
323,urate oxidase,coniferyl-alcohol dehydrogenase
324,acetate CoA-transferase,penicillin amidase
325,choline-phosphate cytidylyltransferase,cytochrome-c oxidase
326,succinate-CoA ligase (GDP-forming),fructose-biphosphatase
327,cholesterol oxidase,phosphomannomutase
328,_-amylase,formate dehydrogenase
329,thermolysin,glucose oxidase and catalase
330,_-lactamase,tryptophan synthase
331,"2,3-dimethylmalate lyase",NAD+ kinase
332,hydrogen dehydrogenase,urate oxidase and catalase
333,adenosine nucleosidase,acetate CoA-transferase
334,aspartate aminotransferase,choline-phosphate cytidylyltransferase
335,aminoacylase,succinate-CoA ligase (GDP-forming)
336,sorbitol-6-phosphate dehydrogenase (NADP+),cholesterol oxidase
337,pyrroline-5-carboxylate reductase,cholesterol oxidase and catalase
338,"GDP-D-mannose 3,5-epimerase",_-amylase
339,serine-pyruvate transaminase,thermolysin
340,glycerol kinase,_-lactamase
341,hypoxanthine phosphoribosyltransferase,"2,3-dimethylmalate lyase"
342,lactoylglutathione lyase,hydrogen dehydrogenase
343,malate dehydrogenase (decarboxylating),adenosine nucleosidase
344,formate dehydrogenase (NADP+),malate dehydrogenase and aspartate aminotransferase
345,dimethylmaleate hydratase,malate dehydrogenase and aspartate transaminase
346,thiamine pyridinylase,aminoacylase
347,methylenetetrahydrofolate dehydrogenase (NAD+),sorbitol-6-phosphate dehydrogenase (NADP+)
348,3-hydroxybutyryl-CoA dehyratase,pyrroline-5-carboxylate reductase
349,Ca2+-transporting ATPase,"GDP-D-mannose 3,5-epimerase"
350,glycine dehydrogenase (decarboxylating),serine-pyruvate transaminase
351,pyrroline-2-carboxylate reductase,glycerol kinase
352,6-phosphogluconolactonase,hypoxanthine phosphoribosyltransferase
353,AMP nucleosidase,lactoylglutathione lyase
354,_-galactosidase,malate dehydrogenase (decarboxylating)
355,D-octopine dehydrogenase,formate dehydrogenase (NADP+)
356,alanopine dehydrogenase,dimethylmaleate hydratase
357,peroxidase,thiamine pyridinylase
358,DNA-directed DNA polymerase,methylenetetrahydrofolate dehydrogenase (NAD+)
359,chalcone isomerase,3-hydroxybutyryl-CoA dehyratase
360,1-phosphatidylinositol kinase,Ca2+-transporting ATPase
361,pantothenase,glycine dehydrogenase (decarboxylating)
362,NAD+ nucleosidase,pyrroline-2-carboxylate reductase
363,guanidinoacetate kinase,glucose-6-phosphate dehydrogenase and 6-phosphogluconolactonase
364,lombricine kinase,AMP nucleosidase
365,NAD(P)+ nucleosidase,_-galactosidase
366,a-mannosidase,D-octopine dehydrogenase
367,L-iditol 2-dehydrogenase,alanopine dehydrogenase
368,"oligo-1,6-glucosidase",peroxidase
369,a-glucosidase,DNA-directed DNA polymerase
370,isochorismate synthase,chalcone isomerase
371,retinyl-palmitate esterase,1-phosphatidylinositol kinase
372,phosphopentomutase,pantothenase
373,5'-nucleosidase,NAD+ nucleosidase
374,"a-dextrin endo-1,6-a-glucosidase",guanidinoacetate kinase
375,triacylglycerol lipase,lombricine kinase
376,D-(-)-phenylglycyl-_-lactamide amidohydrolase,NAD(P)+ nucleosidase
377,AMP deaminase,a-mannosidase
378,sinapate 1-glucosyltransferase,L-iditol 2-dehydrogenase
379,2-arylpropionyl-CoA epimerase,"oligo-1,6-glucosidase"
380,arginase,a-glucosidase
381,arginine deiminase,isochorismate synthase
382,maleate hydratase,retinyl-palmitate esterase
383,glutathione transferase,purine-nucleoside phosphorylase and pyrimidine-nucleoside phosphorylase
384,serine acetyltransferase,phosphopentomutase
385,tryptophanase,5'-nucleosidase
386,a-chymotrypsin,"a-dextrin endo-1,6-a-glucosidase"
387,UDPhexose synthase,triacylglycerol lipase
388,triacyglycerol lipase,D-(-)-phenylglycyl-_-lactamide amidohydrolase
389,tannase,glucose oxidase
390,chorismate mutase,AMP deaminase
391,,sinapate 1-glucosyltransferase
392,,2-arylpropionyl-CoA epimerase
393,,arginase
394,,arginine deiminase
395,,maleate hydratase
396,,glutathione transferase
397,,serine acetyltransferase
398,,tryptophanase
399,,a-chymotrypsin
400,,UDPhexose synthase
401,,triacyglycerol lipase
402,,tannase
403,,chorismate mutase
