index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3187, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.41,0,0.25,0.067,,,,,
3188, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.72,0,0.25,0.088,,,,,
3189, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.73,0,0.25,0.141,,,,,
3190, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.75,0,0.25,0.141,,,,,
3191, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.79,0,0.25,0.138,,,,,
3192, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.82,0,0.25,0.129,,,,,
3193, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.84,0,0.25,0.150,,,,,
3194, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.91,0,0.25,0.139,,,,,
3195, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.91,0,0.25,0.143,,,,,
3196, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.94,0,0.25,0.187,,,,,
3197, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.94,0,0.25,0.197,,,,,
3198, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.98,0,0.25,0.260,,,,,
3199, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,6.98,0,0.25,0.271,,,,,
3200, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.05,0.010,0.25,0.116,,,,,
3201, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.05,0,0.25,0.271,,,,,
3202, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.06,0,0.25,0.266,,,,,
3203, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.07,0.010,0.25,0.105,,,,,
3204, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.07,0,0.25,0.340,,,,,
3205, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.09,0,0.25,0.328,,,,,
3206, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.16,0.010,0.25,0.257,,,,,
3207, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.17,0,0.25,0.268,,,,,
3208, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.23,0,0.25,0.351,,,,,
3209, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.24,0,0.25,0.321,,,,,
3210, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.25,0,0.25,0.309,,,,,
3211, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.30,0,0.25,0.385,,,,,
3212, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.35,0,0.25,0.498,,,,,
3213, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.58,0,0.25,0.634,,,,,
3214, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,7.60,0,0.25,0.620,,,,,
3215, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.09,0,0.25,2.37,,,,,
3216, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.12,0,0.25,2.04,,,,,
3217, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.27,0,0.25,3.55,,,,,
3218, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.29,0,0.25,2.75,,,,,
3219, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.39,0,0.25,3.55,,,,,
3220, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.49,0,0.25,3.86,,,,,
3221, dihydrolipoamide dehydrogenase, dihydro-Î±-lipoate(aq) + NAD(aq) = Î±-lipoate(aq) + NADH(aq),311.15,8.49,0,0.25,6.55,,,,,
