,Unnamed: 0,index,Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km',Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
26,0,30, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386,301.15, ,4.0,nan, , polarimetry, , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
27,0,26, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,273.15, ,7.3,nan, , polarimetry, , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
28,1,27, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,301.15, ,3.85,nan, , , , , , , , , , 
29,2,28, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,311.15, ,3.45,nan, , , , , , , , , , 
30,3,29, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,333.15, ,2.3,nan, , , , , , , , , , 
31,0,31, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,293.15, , ,nan, , calorimetry, phosphate, ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,58
32,1,32, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15, , ,nan, , , , , , , , , ,64
33,0,33, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15, , ,nan, , calorimetry, phosphate, ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,58
34,1,34, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15, , ,nan, , , , , , , , , ,64
35,0,35, alkaline phosphatase, phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15, , ,nan, , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-31.0
36,0,36, alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15, , ,nan, , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-44.8
37,0,37, alkaline phosphatase, (R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15, , ,nan, , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-34.5
38,0,38, alkaline phosphatase, phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15, , ,nan, , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-35.4
39,0,39, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014,nan, , spectrophotometry, ,MgCl2," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.006 salt & 0.006 salt, , , 
40,1,40, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.1e-05,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
41,2,41, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032,nan, , , , , , ,-- salt & -- salt, , , 
42,3,42, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
43,4,43, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011,nan, , , ,MgCl2, , ,0.0025 salt & 0.0025 salt, , , 
44,5,44, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
45,6,45, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
46,7,46, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
47,8,47, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
48,9,48, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00037,nan, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
49,10,49, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00029,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
50,11,50, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
51,12,51, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.24 salt & 0.24 salt, , , 
52,13,52, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00055,nan, , , ,Na2SO4, , ,0.2 salt & 0.2 salt, , , 
53,14,53, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011,nan, , , ,NaCl, , ,0.043 salt & 0.043 salt, , , 
54,15,54, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00075,nan, , , ,NaCl, , ,0.21 salt & 0.21 salt, , , 
55,16,55, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00047,nan, , , ,NaCl, , ,0.90 salt & 0.90 salt, , , 
56,17,56, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015,nan, , , , , , ,-- salt & -- salt, , , 
57,18,57, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0056,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
58,19,58, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0025,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
59,20,59, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.002,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
60,21,60, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0014,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
61,22,61, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0064,nan, , , , , , ,-- salt & -- salt, , , 
62,23,62, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.015,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
63,24,63, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0082,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
64,25,64, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0056,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
65,26,65, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0046,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
66,27,66, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0012,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
67,28,67, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.019,nan, , , , , , ,-- salt & -- salt, , , 
68,0,68, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00014,nan, , spectrophotometry, ,MgCl2," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", ,0.006 salt & 0.006 salt, , , 
69,1,69, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.1e-05,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
70,2,70, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032,nan, , , , , , ,-- salt & -- salt, , , 
71,3,71, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
72,4,72, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011,nan, , , ,MgCl2, , ,0.0025 salt & 0.0025 salt, , , 
73,5,73, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
74,6,74, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
75,7,75, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
76,8,76, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
77,9,77, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00037,nan, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
78,10,78, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00029,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
79,11,79, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
80,12,80, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035,nan, , , ,MgCl2, , ,0.24 salt & 0.24 salt, , , 
81,13,81, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00055,nan, , , ,Na2SO4, , ,0.2 salt & 0.2 salt, , , 
82,14,82, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011,nan, , , ,NaCl, , ,0.043 salt & 0.043 salt, , , 
83,15,83, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00075,nan, , , ,NaCl, , ,0.21 salt & 0.21 salt, , , 
84,16,84, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00047,nan, , , ,NaCl, , ,0.90 salt & 0.90 salt, , , 
85,17,85, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015,nan, , , , , , ,-- salt & -- salt, , , 
86,18,86, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0056,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
87,19,87, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0025,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
88,20,88, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.002,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
89,21,89, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0014,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
90,22,90, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0064,nan, , , , , , ,-- salt & -- salt, , , 
91,23,91, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.015,nan, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
92,24,92, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0082,nan, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
93,25,93, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0056,nan, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
94,26,94, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0046,nan, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
95,27,95, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0012,nan, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
96,28,96, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.019,nan, , , , , , ,-- salt & -- salt, , , 
97,0,97, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),von Euler H.; Adler E.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 241 239 (1936).,36EUL/ADL_7,298.15,6.4,1.3e-05,nan, , spectrophotometry, phosphate, ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
98,1,98, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.0,5.3e-05,nan, , , , , , , , , , 
99,2,99, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.7,0.00013,nan, , , , , , , , , , 
100,0,100, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_589,293.15,7.7,0.13,nan, , chemical analysis, carbonate + bicarbonate, ," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
101,1,101, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq), , ,293.15,8.8,0.48,nan, , , , , , , , , , 
102,0,102, arginine kinase, ATP(aq) + L-arginine(aq) = ADP(aq) + NÏ‰-phospho-L-arginine(aq),Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_614,293.15,7.7,0.323,nan, , chemical analysis, carbonate + bicarbonate, ," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
103,0,103, fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq),Meyerhof O.; Lohmann K.; Schuster Ph.; Biochem. Z.; 286 301 (1936).,36MEY/LOH_1099,273.15, ,0.0021,nan, , chemical analysis, phosphate, ," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
104,1,104, fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq), , ,293.15, ,0.0029,nan, , , , , , , , , , 
105,2,105, fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq), , ,313.15, ,0.0067,nan, , , , , , , , , , 
106,0,106, fructose-biphosphate aldolase, D-fructose 1-phosphate(aq) = D-glyceraldehyde(aq) + glycerone phosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z. 289 87 (1936).,36MEY/SCH_1096,298.15, , ,nan, , calorimetry, phosphate, ," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-60.2
107,0,107, _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914,277.15, ,8.63,nan, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
108,1,108, _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq), , ,303.15, ,9.48,nan, , , , , , , , , , 
109,0,109, _-glucosidase, 2-butyl Î²-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_915,277.15, ,18.5,nan, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
110,1,110, _-glucosidase, 2-butyl Î²-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq), , ,303.15, ,21.1,nan, , , , , , , , , , 
