,freiburger_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
25,25,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_160,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3833,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,nan,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,310.15,7,0.0076,nan,polarimetry and chemical analysis,barbital,nan,4.3.1.1,nan,nan,nan,nan,nan
26,26,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_194,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry938,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,nan,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386,301.15,nan,4,nan,polarimetry,nan,nan,5.4.2.1,nan,nan,nan,nan,nan
27,27,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_193,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3388,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,nan,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,273.15,nan,7.3,nan,polarimetry,nan,nan,5.4.2.1,nan,nan,nan,nan,nan
28,28,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_192,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3391,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,nan,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,301.15,nan,3.85,nan,polarimetry,nan,nan,5.4.2.1,nan,nan,nan,nan,nan
29,29,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_191,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3389,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,nan,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,311.15,nan,3.45,nan,polarimetry,nan,nan,5.4.2.1,nan,nan,nan,nan,nan
30,30,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_190,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry3390,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,nan,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,333.15,nan,2.3,nan,polarimetry,nan,nan,5.4.2.1,nan,nan,nan,nan,nan
31,31,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry389,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,293.15,nan,nan,nan,calorimetry,phosphate,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,58
32,32,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry388,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,313.15,nan,nan,nan,calorimetry,phosphate,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,64
33,33,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2898,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15,nan,nan,nan,calorimetry,phosphate,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,58
34,34,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2899,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,313.15,nan,nan,nan,calorimetry,phosphate,nan,4.1.2.13 & 5.3.1.1,nan,nan, ,nan,64
35,35,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entrynan,alkaline phosphatase,nan,nan,phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15,nan,nan,nan,calorimetry,phosphate,nan,3.1.3.1,nan,nan,nan,nan,-31
36,36,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry235,alkaline phosphatase,kegg:C02305 + kegg:C00001 = kegg:C00300 + kegg:C00009,nan,phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15,nan,nan,nan,calorimetry,phosphate,nan,3.1.3.1,nan,nan, ,nan,-44.8
37,37,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry2717,alkaline phosphatase,kegg:C00197 + kegg:C00001 = kegg:C00258 + kegg:C00009,nan,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15,nan,nan,nan,calorimetry,phosphate,nan,3.1.3.1,nan,nan, ,nan,-34.5
38,38,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_nan,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry385,alkaline phosphatase,kegg:C00074 + kegg:C00001 = kegg:C00022 + kegg:C00009,nan,phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15,nan,nan,nan,calorimetry,phosphate,nan,3.1.3.1,nan,nan, ,nan,-35.4
39,39,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_165,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry113,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.006 salt,nan,nan,nan
40,40,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_177,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry122,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,7.10E-05,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.12 salt,nan,nan,nan
41,41,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_186,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry93,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00032,nan,spectrophotometry,nan,nan,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,nan,nan,nan,nan
42,42,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_161,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry107,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0014,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.0012 salt,nan,nan,nan
43,43,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_164,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry96,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0011,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.0025 salt,nan,nan,nan
44,44,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_166,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry120,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00064,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.006 salt,nan,nan,nan
45,45,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_169,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry105,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00051,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.012 salt,nan,nan,nan
46,46,https://w3id.org/related-to/doi.org/10.5281/zenodo.5494490/files/TableS1_Keq.csv#Keq_172,https://w3id.org/related-to/doi.org/10.5281/zenodo.3978439/files/TECRDB.csv#entry121,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,nan,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00031,nan,spectrophotometry,nan,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,nan,0.031 salt,nan,nan,nan
