,freiburger_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
13,13,,379,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,266.15,7,0.00018,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
14,14,,380,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,273.15,7,0.0003,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
15,15,155,376,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,293.15,7,0.0015,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
16,16,,377,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,333.15,7,0.013,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
17,17,157,378,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100,343.15,7,0.022,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
18,18,153,218,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,266.15,7,0.00018,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
19,19,154,222,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,273.15,7,0.0003,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
20,20,,219,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,293.15,7,0.0015,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
21,21,156,220,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,333.15,7,0.013,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
22,22,,221,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,343.15,7,0.022,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
23,23,158,935,phosphopyruvate hydratase,kegg:C00631 = kegg:C00074 + kegg:C00001,,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170,301.15,,2.3,,,,,4.2.1.11,,,,,
24,24,159,3832,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,278.15,7,0.0024,,polarimetry and chemical analysis,barbital,,4.3.1.1,,,,,
25,25,160,3833,aspartate ammonia-lyase,kegg:C00049 = kegg:C00122 + kegg:C00014,,L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,310.15,7,0.0076,,polarimetry and chemical analysis,barbital,,4.3.1.1,,,,,
26,26,194,938,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386,301.15,,4,,polarimetry,,,5.4.2.1,,,,,
27,27,193,3388,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,273.15,,7.3,,polarimetry,,,5.4.2.1,,,,,
28,28,192,3391,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,301.15,,3.85,,polarimetry,,,5.4.2.1,,,,,
29,29,191,3389,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,311.15,,3.45,,polarimetry,,,5.4.2.1,,,,,
30,30,190,3390,phosphoglycerate mutase,kegg:C00631 = kegg:C00197,,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,333.15,,2.3,,polarimetry,,,5.4.2.1,,,,,
31,31,,389,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,293.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,, ,,58
32,32,,388,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,313.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,, ,,64
33,33,,2898,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,, ,,58
34,34,,2899,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,313.15,,,,calorimetry,phosphate,,4.1.2.13 & 5.3.1.1,,, ,,64
35,35,,,alkaline phosphatase,,,phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15,,,,calorimetry,phosphate,,3.1.3.1,,,,,-31
36,36,,235,alkaline phosphatase,kegg:C02305 + kegg:C00001 = kegg:C00300 + kegg:C00009,,phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15,,,,calorimetry,phosphate,,3.1.3.1,,, ,,-44.8
37,37,,2717,alkaline phosphatase,kegg:C00197 + kegg:C00001 = kegg:C00258 + kegg:C00009,,(R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15,,,,calorimetry,phosphate,,3.1.3.1,,, ,,-34.5
38,38,,385,alkaline phosphatase,kegg:C00074 + kegg:C00001 = kegg:C00022 + kegg:C00009,,phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15,,,,calorimetry,phosphate,,3.1.3.1,,, ,,-35.4
39,39,165,113,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.006 salt,,,
40,40,177,122,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,7.10E-05,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.12 salt,,,
41,41,186,93,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00032,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
42,42,161,107,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.0012 salt,,,
43,43,164,96,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0011,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.0025 salt,,,
44,44,166,120,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00064,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.006 salt,,,
45,45,169,105,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00051,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.012 salt,,,
46,46,172,121,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00031,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.031 salt,,,
47,47,175,100,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.06 salt,,,
48,48,176,104,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00037,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.06 salt,,,
49,49,178,102,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00029,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.12 salt,,,
50,50,179,101,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.12 salt,,,
51,51,181,118,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.24 salt,,,
52,52,182,99,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00055,,spectrophotometry,,Na2SO4,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.2 salt,,,
53,53,183,106,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0011,,spectrophotometry,,NaCl,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.043 salt,,,
54,54,184,97,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00075,,spectrophotometry,,NaCl,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.21 salt,,,
55,55,185,98,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00047,,spectrophotometry,,NaCl,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.90 salt,,,
56,56,187,117,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0015,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
57,57,162,116,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0056,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.0012 salt,,,
58,58,167,109,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0025,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.006 salt,,,
59,59,170,108,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.002,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.012 salt,,,
60,60,173,112,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.031 salt,,,
61,61,188,94,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0064,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
62,62,163,115,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.015,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.0012 salt,,,
63,63,168,111,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0082,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.006 salt,,,
64,64,171,110,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0056,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.012 salt,,,
65,65,174,119,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0046,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.031 salt,,,
66,66,180,103,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0012,,spectrophotometry,,MgCl2,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,0.12 salt,,,
67,67,189,95,fructose-biphosphate aldolase and triose-phosphate isomerase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.019,,spectrophotometry,,,4.1.2.13 & 4.1.2.13 & 5.3.1.1 & 5.3.1.1,,,,,
68,68,,1380,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt, ,,
69,69,,1382,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,7.10E-05,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.12 salt, ,,
70,70,,1358,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00032,,spectrophotometry,,,4.1.2.13 & 5.3.1.1,,, ,,
71,71,,1373,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0014,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0012 salt, ,,
72,72,,1362,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0011,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.0025 salt, ,,
73,73,,1387,triose-phosphate isomerase and fructose-bisphosphate aldolase,kegg:C00354 = 2 kegg:C00111,,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00064,,spectrophotometry,,MgCl2,4.1.2.13 & 5.3.1.1,,0.006 salt, ,,
