name,CID_ox,nH_ox,charge_ox,CID_red,nH_red,charge_red,standard_E_prime,p_h,ionic_strength,temperature,decompose,reference,doi,comment
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.103,8,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,0.026,6,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.034,7,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.093,8,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.149,9,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732504,12,0,-0.198,10,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
pyocyanin,metanetx.chemical:MNXM732503,10,0,metanetx.chemical:MNXM732503,12,0,-0.246,11,??,303.15,,Friedheim (1931),10.1016/S0021-9258(18)76619-2,
phenazine 1-carboxylic acid,metanetx.chemical:MNXM9013,8,-1,metanetx.chemical:MNXM37861,10,-1,0.012,5,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
phenazine 1-carboxylic acid,metanetx.chemical:MNXM9013,8,-1,metanetx.chemical:MNXM37861,10,-1,-0.06,6,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
phenazine 1-carboxylic acid,metanetx.chemical:MNXM9013,8,-1,metanetx.chemical:MNXM37861,10,-1,-0.116,7,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
toxoflavin,metanetx.chemical:MNXM87509,7,0,metanetx.chemical:MNXM74891,9,0,-0.049,7,??,303.15,,Stern (1934),10.1042/bj0290500,
phenazine-1-carboxamide ,metanetx.chemical:MNXM74891,9,0,pubchem:44152686,11,0,-0.008,5,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
phenazine-1-carboxamide ,metanetx.chemical:MNXM74891,9,0,pubchem:44152686,11,0,-0.081,6,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
phenazine-1-carboxamide ,metanetx.chemical:MNXM74891,9,0,pubchem:44152686,11,0,-0.14,7,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
1-hydroxyphenazine,metanetx.chemical:MNXM32817,8,0,pubchem:154108578,10,0,-0.057,5,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
1-hydroxyphenazine,metanetx.chemical:MNXM32817,8,0,pubchem:154108578,10,0,-0.126,6,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
1-hydroxyphenazine,metanetx.chemical:MNXM32817,8,0,pubchem:154108578,10,0,-0.174,7,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
1-hydroxyphenazine,metanetx.chemical:MNXM32817,8,0,pubchem:154108578,10,0,-0.245,8,200 mM,298.15,,Wang & Newman (2008),10.1021/es702290a,
Pyrrolo-quinoline quinone,metanetx.chemical:MNXM601,3,-2,metanetx.chemical:MNXM765,4,-4,0.066,7,500 mM,298.15,,Kano (1990),10.1016/0302-4598(90)80012-8,
Pyrrolo-quinoline quinone,metanetx.chemical:MNXM601,3,-2,metanetx.chemical:MNXM765,4,-4,0.239,13,500 mM,298.15,,Kano (1990),10.1016/0302-4598(90)80012-8,
