,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
10,10.1111/j.1432-1033.1975.tb02227.x,170102,Prostaglandin 15-hydroxy dehydrogenase from human placenta.,<PubMedArticle 170102> Schlegel W; Greep RO. Prostaglandin 15-hydroxy dehydrogenase from human placenta.. Eur J Biochem. 1975. 56(1):245-52,1975,Schlegel W; Greep RO,Eur J Biochem,56,1,245-52,https://ncbi.nlm.nih.gov/pubmed/170102,"The enzyme system prostaglandin 15-hydroxy dehydrogenase, which catalyzes the inactivation of all biologically active prostaglandins, has been purified 1270-fold from human placenta. Kinetic studies on the enzyme have provided information on a well-organized control mechanism to avoid prostaglandin accumulation and for a fast prostaglandin degradation. 15-Ketoprostaglandin E2 and 13,14-dihydro-15-ketoprostaglandin E2 inhibit prostaglandin 15-hydroxy dehydrogenase non-competitively with respect to prostaglandin E2. The rate equation of enzyme reaction for two substrates was used for determination of the equilibrium constant and Michaelis constants of the enzyme. The following kinetic constants for prostaglandin 15-hydroxy dehydrogenase have been found. The equilibrium constant with repect to prostaglandin E2 is 18 muM, the Michaelis constant Km for prostaglandin E2 is 1 muM for NAD+ 44muM. The inhibition constants for 15-ketoprostaglandin E2 ar Ki(slope) = 70 muM, Ki(intercept) = 150 muM, and for 13,14-dihydro-15-ketoprostaglandin E2 Ki(slope) = 80 muM, and Ki(intercept) = 150 muM. The maximal velocity for the forward reaction is V1 = 0.45 mumol/min. These kinetic data exclude a random or ping-pong mechanism, and also a Theorell-Chance type as suggested by Braithwaite and Jarabak. We propose, therefore, a sequential ordered mechanism. The isoelectric point for prostaglandin 15-hydroxy dehydrogenase is at pH 5.35, judged by isoelectric focusing.",75SCH/GRE,10.1111/j.1432-1033.1975.tb02227.x,75SCH/GRE_218
11,10.1042/bj1570591,186026,Studies on partially reduced mammalian cytochrome oxidase reactions with ferrocytochrome c.,<PubMedArticle 186026> Greenwood C; Brittain T. Studies on partially reduced mammalian cytochrome oxidase reactions with ferrocytochrome c.. Biochem J. 1976. 157(3):591-8,1976,Greenwood C; Brittain T,Biochem J,157,3,591-8,https://ncbi.nlm.nih.gov/pubmed/186026,"The kinetics of the electron-transfer process which occurs between ferrocytochrome c and partially reduced mammalian cytochrome oxidase were studied by the rapid spectrophotometric techniques of stopped flow and temperature jump. Stopped-flow experiments showed initial very fast extinction changes at 605 nm and at 563 nm, indicating the simultaneous reduction of cytochrome a and oxidation of ferrocytochrome c. During this 'burst' phase, say the first 50 ms after mixing, it was invariably found that more cytochrome c had been oxidized than cytochrome a had been reduced. This discrepancy in electron equivalents may be accounted for by the rapid reduction of another redox site in the enzyme, possibly that associated with the extinction changes observed at 830 nm. During the incubation period in which the partially reduced oxidase was prepared, the rate of reduction of cytochrome a by ferrocytochrome c, at constant reactant concentrations, decreased with time. Temperature-jump experiments showed the presence of two relaxation processes. The faster of the two phases was assigned to the electron-transfer reaction between cytochrome c and cytochrome a. A study of the concentration-dependence of the reciprocal relaxation time for this phase yielded a rate constant of 9 X 10(6)M-1-s-1 for the electron transfer from cytochrome c to cytochrome a, and a value of 8.5 X 10(6)M-1-s-1 for the reverse reaction. The equilibrium constant for the electron-transfer reaction is therefore close to unity. The slower phase has been interpreted as signalling the transfer of electrons between cytochrome a and another redox site within the oxidase molecule.",76GRE/BRI,10.1042/bj1570591,76GRE/BRI_328
12,,186451,31P NMR studies of the arginine kinase reaction. Equilibrium constants and exchange rates at stoichiometric enzyme concentration.,<PubMedArticle 186451> Rao BD; Buttlaire DH; Cohn M. 31P NMR studies of the arginine kinase reaction. Equilibrium constants and exchange rates at stoichiometric enzyme concentration.. J Biol Chem. 1976. 251(22):6981-6,1976,Rao BD; Buttlaire DH; Cohn M,J Biol Chem,251,22,6981-6,https://ncbi.nlm.nih.gov/pubmed/186451,"The arginine kinase reaction, the reversible transfer of the terminal phosphoryl group of ATP to L-arginine, has been investigated by the technique of 31P NMR at catalytic and stoichiometric concentrations of the enzyme. Three of the four substrates, ATP, ADP, and P-arginine produce easily distinguishable resonances in the 31P NMR spectrum, thus permitting a determination of equilibrium constants from the integrated areas of the resonances. From the linewidths, the exchange rates between reactants and products may be evaluated. At pH 7.25 and a temperature of 12 degrees, the equilibrium constant at catalytic enzyme concentration: Keq = [MgADP] [P-arginine]/[MgATP] [L-arginine], is found to be 0.10 +/- 0.02 and that at stoichiometric enzyme concentration: K'eq = [E-MgADP] [E-P-arginine]/[E-MgATP] [E-arginine] to be 1.56 +/- 0.5. Thus, as the enzyme concentration increased, the production of P-arginine is increasingly favored. From the NMR line shapes in the presence of excess enzyme, the rate of the single step, the transfer of the phosphoryl group on the surface of the enzyme is found to be 192 +/- 15 s-1 in the forward direction, i.e. from E-MgATP, and 154 +/- 15 s-1 in the reverse direction from E-P-argine. At 12 degrees and pH 7.25, the rate of the overall reaction in the forward direction was determined from kinetic measurements to be 19 s-1, an order of magnitude slower than the rate measured by NMR. It can, therefore, be concluded that the interconversion of substrates on the surface of the enzyme is not the rate-determining step in the overal reaction. From the equilibrium constants and other known data the dissociation constant of P-arginine from its enzyme complex can be determined and is found to be 100 muM.",76RAO/BUT,,76RAO/BUT_618
13,,186456,Equilibrium constants under physiological conditions for the reactions of choline kinase and the hydrolysis of phosphorylcholine to choline and inorganic phosphate.,<PubMedArticle 186456> Guynn RW. Equilibrium constants under physiological conditions for the reactions of choline kinase and the hydrolysis of phosphorylcholine to choline and inorganic phosphate.. J Biol Chem. 1976. 251(22):7162-7,1976,Guynn RW,J Biol Chem,251,22,7162-7,https://ncbi.nlm.nih.gov/pubmed/186456,"The observed equilibrium constants (Kobs) of the P-choline hydrolysis reaction have been determined under physiological conditions of temperature (38 degrees) and ionic strength (0.25 M) and physiological ranges of pH and free [Mg2+]. Using sigma and square brackets to indicate total concentrations: (see article.) The value of Kobs has been found to be relatively insensitive to variations in pH and free [Mg2+]. At pH 7.0 and taking the standard state of liquid water to have unit activity ([H2O] = 1), Kobs = 26.6 M at free [Mg2+] = 0 [epsilon G0obs = -2.03 kcal/mol(-8.48 kJ/mol)], 26.8 M at free [Mg2+] = 10(-3) M, and 28.4 M at free [Mg2+] = 10(-2) M. At pH 8.0, Kobs = 18.8 M at free [Mg2+] = 0, 19.2 M at free [Mg2+] = 10(-3), and 22.2 M at free [Mg2+] = 10(-2) M. These values apply only to situations where choline and Pi concentrations are both relatively low (such as the conditions found in most tissues). At higher concentrations of phosphate and choline, the value of Kobs becomes significantly increased since HPO42- complexes choline weakly (association constant = 3.3 M-1). The value of K at 38 degrees and I = 0.25 M is calculated to be 16.4 +/- 0.3 M [epsilonG0 = 1.73 kcal/mol (-7.23 kJ/mol)]. The K for the P-choline hydrolysis reaction has been combined with the K for the ATP hydrolysis reaction determined previously under physiological conditions to calculate a value of 4.95 X 10(-3 M [deltaG0 j.28 kcal/mol (13.7 kJ/mol] for the K of the choline kinase reaction (EC 2.7.1.32), an important step in phospholipid metabolism: (see article.) Likewise, values for Kobs for the choline kinase reaction at 38 degrees, pH 7.0, and I = 0.25 M have been calculated to be 5.76 X 10(4) [deltaG0OBS = -6.77 KCAL/MOL (-28.3 KJ/mol)] at [Mg2+] = 0; 1.24 X  10(4) [deltaG0obs = -5.82 kcal/mol (-24.4 kJ/mol)] at [Mg2+] = 10(-3) M and 8.05 X 10(3) [delta G0obs = -5.56 kcal/mol (-23.3 kJ/mol)] at [Mg2+ = 10(-2) M. Attempts to determine the Kobs of the choline kinase reaction directly were unsuccessful because of the high value of the constant. The results indicate that in contrast to the high deltaG0obs for the hydrolysis of the ester bond of acetylcholine, the deltaG0obs for the hydrolysis of the ester bond of P-choline is quite low, among the lowest known for phosphate ester bonds of biological interest.",76GUY,,76GUY_807
14,10.1042/bj1670087,201249,The equilibrium constant and the reversibility of the reaction catalysed by nicotinamide-adenine dinucleotide kinase from pigeon liver.,<PubMedArticle 201249> Apps DK; Nairn AC. The equilibrium constant and the reversibility of the reaction catalysed by nicotinamide-adenine dinucleotide kinase from pigeon liver.. Biochem J. 1977. 167(1):87-93,1977,Apps DK; Nairn AC,Biochem J,167,1,87-93,https://ncbi.nlm.nih.gov/pubmed/201249,"The reversibility of the NAD+ kinase reaction was established, and the kinetic parameters of the rate equation in the reverse direction were determined. The equilibrium constant of the reaction was determined by using the purified pigeon liver enzyme and radioactively labelled nicotinamide nucleotides. The relationship between kinetic parameters of the forward and reverse reactions is in reasonable agreement with the measured equilibrium constant. As expected from the proposed mechanism of action, the enzyme does not catalyse isotope exchange between NAD+ and NADP+ in the absence of ADP and ATP. Although homogeneous as judged by polyacrylamide-gel electrophoresis, the enzyme preparation exhibits ADP/ATP isotope-exchange activity which could not be separated from NAD+ kinase activity, but kinetic evidence suggests that this is probably due to a contaminant.",77APP/NAI,10.1042/bj1670087,77APP/NAI_556
15,,203583,"Differentiation of nucleotide binding sites and role of metal ion in the adenylate kinase reaction by 31P NMR. Equilibria, interconversion rates, and NMR parameters of bound substrates.","<PubMedArticle 203583> Nageswara Rao BD; Cohn M; Noda L. Differentiation of nucleotide binding sites and role of metal ion in the adenylate kinase reaction by 31P NMR. Equilibria, interconversion rates, and NMR parameters of bound substrates.. J Biol Chem. 1978. 253(4):1149-58",1978,Nageswara Rao BD; Cohn M; Noda L,J Biol Chem,253,4,1149-58,https://ncbi.nlm.nih.gov/pubmed/203583,,78RAO/COH,,78RAO/COH_650
16,,204656,Equilibrium constants under physiological conditions for the reactions of succinyl coenzyme A synthetase and the hydrolysis of succinyl coenzyme A to coenzyme A and succinate.,<PubMedArticle 204656> Lynn R; Guynn RW. Equilibrium constants under physiological conditions for the reactions of succinyl coenzyme A synthetase and the hydrolysis of succinyl coenzyme A to coenzyme A and succinate.. J Biol Chem. 1978. 253(8):2546-53,1978,Lynn R; Guynn RW,J Biol Chem,253,8,2546-53,https://ncbi.nlm.nih.gov/pubmed/204656,,78LYN/GUY,,78LYN/GUY_666
17,,218950,Studies of the kinetic mechanism of orotate phosphoribosyltransferase from yeast.,<PubMedArticle 218950> Victor J; Greenberg LB; Sloan DL. Studies of the kinetic mechanism of orotate phosphoribosyltransferase from yeast.. J Biol Chem. 1979. 254(8):2647-55,1979,Victor J; Greenberg LB; Sloan DL,J Biol Chem,254,8,2647-55,https://ncbi.nlm.nih.gov/pubmed/218950,,79VIC/GRE,,79VIC/GRE_482
18,,231463,[Study of the enzymatic hydrolysis of a phosphonic ester using microcalorimetry].,<PubMedArticle 231463> Labadie M; Debord J; Breton JC. [Study of the enzymatic hydrolysis of a phosphonic ester using microcalorimetry].. Biochimie. 1979. 61(9):1091-4,1979,Labadie M; Debord J; Breton JC,Biochimie,61,9,1091-4,https://ncbi.nlm.nih.gov/pubmed/231463,"A ""Batch"" microcalorimeter is used at 30 degrees C for the study of the hydrolysis of 4-nitro-phenylphenylphosphonate with a calf-intestinal phosphonate esterase, in a tris buffer, pH 8. The yield of enzymatic hydrolysis is estimated by spectrophotometric determination of the p--nitrophenol evolved; we have then calculated the apparent molar enthalph of the reaction. (delta Happ = -72,2 kj. mol-1). Phenylphosphonic acid, the second reaction product, is not transphosphonylated on tris. The second acidity of phenylphosphonic acid was studied at 30 degrees C by sodium hydroxide electrotitration (pKa2 = 7,13) and by ""Flow"" microcalorimetry (delta Hionization = 19,8 kj.mol-1). In the same manner at 30 degrees C, we measured the heat of ionization of p-nitrophenol (delta Hionization = 26,75 kj.mol-1). These findings allow a calculation for the actual heat of hydrolysis of 4-nitro-phenyl-phenylphosphonate (delta Hrho = -29,7 kj.mol-1).",79LAB/DEB,10.1016/S0300-9084(80)80264-1,79LAB/DEB_795
19,10.1111/j.1432-1033.1975.tb03925.x,235429,Purine nucleoside phosphorylase from Escherichia coli and Salmonella typhimurium. Purification and some properties.,<PubMedArticle 235429> Jensen KF; Nygaard P. Purine nucleoside phosphorylase from Escherichia coli and Salmonella typhimurium. Purification and some properties.. Eur J Biochem. 1975. 51(1):253-65,1975,Jensen KF; Nygaard P,Eur J Biochem,51,1,253-65,https://ncbi.nlm.nih.gov/pubmed/235429,"The purine nucleoside phosphorylases from Escherichia coli and from Salmonella typhimurium have been purified to electrophoretic homogeneity and crystallized. Comparative studies revealed that the two enzymes are very much alike. They obey simple Michaelis-Menten kinetics for their substrates with the exception of phosphate for which they show negative cooperativity. Gel filtration on Sephadex G-200 of the native enzymes revealed a molecular weight for both enzymes of 138000 plus or minus 10%. By use of dodecylsulphate gel electrophoresis a subunit molecular weight of 23700 plus or minus 5% was determined, suggesting that both enzymes consist of six subunits of equal molecular weight. When the subunits were partially crosslinked with dimethyl suberimidate before dodecylsulphate electrophoresis six protein bands were observed in agreement with the proposed oligomeric state of the enzyme, consisting of six subunits of equal molecular weight. Analysis of the amino acid composition also indicates that the subunits are identical. 6M guanidinium chloride dissociates the enzymes; association experiments with native and succinylated enzymes suggested that only the hexameric form is active. Both enzymes could be dissociated into subunits by p-chloromercuribenzoate; this dissociation is prevented by the substrates: the nucleosides, the pentose 1-phosphates, and mixtures of phosphate and purine bases.",75JEN/NYG,10.1111/j.1432-1033.1975.tb03925.x,75JEN/NYG_460
20,10.1016/0003-9861(75)90274-x,237482,Glutathione: Its reaction with NADP and its oxidationredutionpotenial.,<PubMedArticle 237482> Gorin G; Esfandi A; Guthrie GB. Glutathione: Its reaction with NADP and its oxidationredutionpotenial.. Arch Biochem Biophys. 1975. 168(2):450-4,1975,Gorin G; Esfandi A; Guthrie GB,Arch Biochem Biophys,168,2,450-4,https://ncbi.nlm.nih.gov/pubmed/237482,,75GOR/ESF,10.1016/0003-9861(75)90274-x,75GOR/ESF_316
