Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288,266.15,7,0.00018, , spectrophotometry, , ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.0003, , , , , , , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015, , , , , , , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.013, , , , , , , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,343.15,7,0.022, , , , , , , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170,301.15, ,2.3, , , , ," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207,278.15,7,0.0024, , polarimetry and chemical analysis, barbital, ," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq), , ,310.15,7,0.0076, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386,301.15, ,4, , polarimetry, , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,273.15, ,7.3, , polarimetry, , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,301.15, ,3.85, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,311.15, ,3.45, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,333.15, ,2.3, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,293.15, , , , calorimetry, phosphate, ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,58
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15, , , , , , , , , , , ,64
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15, , , , calorimetry, phosphate, ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,58
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15, , , , , , , , , , , ,64
 alkaline phosphatase, phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15, , , , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-31
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15, , , , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-44.8
 alkaline phosphatase, (R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15, , , , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-34.5
 alkaline phosphatase, phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15, , , , calorimetry, phosphate, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-35.4
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014, , spectrophotometry, ,MgCl2," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.006 salt & 0.006 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.10E-05, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032, , , , , , ,#NAME?, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, , , ,MgCl2, , ,0.0025 salt & 0.0025 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00037, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00029, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.24 salt & 0.24 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00055, , , ,Na2SO4, , ,0.2 salt & 0.2 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, , , ,NaCl, , ,0.043 salt & 0.043 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00075, , , ,NaCl, , ,0.21 salt & 0.21 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00047, , , ,NaCl, , ,0.90 salt & 0.90 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015, , , , , , ,#NAME?, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0056, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0025, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.002, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0014, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0064, , , , , , ,#NAME?, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.015, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0082, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0056, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0046, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0012, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.019, , , , , , ,#NAME?, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00014, , spectrophotometry, ,MgCl2," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", ,0.006 salt & 0.006 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,7.10E-05, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,273.15,7,0.00032, , , , , , ,#NAME?, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0014, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, , , ,MgCl2, , ,0.0025 salt & 0.0025 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00064, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00051, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00031, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00037, , , ,MgCl2, , ,0.06 salt & 0.06 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00029, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00035, , , ,MgCl2, , ,0.24 salt & 0.24 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00055, , , ,Na2SO4, , ,0.2 salt & 0.2 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0011, , , ,NaCl, , ,0.043 salt & 0.043 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00075, , , ,NaCl, , ,0.21 salt & 0.21 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.00047, , , ,NaCl, , ,0.90 salt & 0.90 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,293.15,7,0.0015, , , , , , ,#NAME?, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0056, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0025, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.002, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0014, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,7,0.0064, , , , , , ,#NAME?, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.015, , , ,MgCl2, , ,0.0012 salt & 0.0012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0082, , , ,MgCl2, , ,0.006 salt & 0.006 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0056, , , ,MgCl2, , ,0.012 salt & 0.012 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0046, , , ,MgCl2, , ,0.031 salt & 0.031 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.0012, , , ,MgCl2, , ,0.12 salt & 0.12 salt, , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,333.15,7,0.019, , , , , , ,#NAME?, , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),von Euler H.; Adler E.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 241 239 (1936).,36EUL/ADL_7,298.15,6.4,1.30E-05, , spectrophotometry, phosphate, ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7,5.30E-05, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.7,0.00013, , , , , , , , , , 
 creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_589,293.15,7.7,0.13, , chemical analysis, carbonate + bicarbonate, ," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq), , ,293.15,8.8,0.48, , , , , , , , , , 
 arginine kinase, ATP(aq) + L-arginine(aq) = ADP(aq) + NÏ‰-phospho-L-arginine(aq),Lehman H.; Biochem. Z.; 286 336 (1936).,36LEH_614,293.15,7.7,0.323, , chemical analysis, carbonate + bicarbonate, ," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq),Meyerhof O.; Lohmann K.; Schuster Ph.; Biochem. Z.; 286 301 (1936).,36MEY/LOH_1099,273.15, ,0.0021, , chemical analysis, phosphate, ," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq), , ,293.15, ,0.0029, , , , , , , , , , 
 fructose-biphosphate aldolase, methylerythrulose 1-phosphate(aq) = acetaldehyde(aq) + glycerone phosphate(aq), , ,313.15, ,0.0067, , , , , , , , , , 
 fructose-biphosphate aldolase, D-fructose 1-phosphate(aq) = D-glyceraldehyde(aq) + glycerone phosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z. 289 87 (1936).,36MEY/SCH_1096,298.15, , , , calorimetry, phosphate, ," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-60.2
 _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914,277.15, ,8.63, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq), , ,303.15, ,9.48, , , , , , , , , , 
 _-glucosidase, 2-butyl Î²-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_915,277.15, ,18.5, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, 2-butyl Î²-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq), , ,303.15, ,21.1, , , , , , , , , , 
 _-glucosidase, ethyl Î²-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_917,277.15, ,7.08, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, ethyl Î²-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq), , ,303.15, ,7.88, , , , , , , , , , 
 _-glucosidase, methyl Î²-D-glucopyranoside(aq) + H2O(l) = methanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_922,277.15, ,4.5, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, methyl Î²-D-glucopyranoside(aq) + H2O(l) = methanol(aq) + D-glucose(aq), , ,303.15, ,4.73, , , , , , , , , , 
 _-glucosidase, 2-methyl-1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_923,277.15, ,11.2, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, 2-methyl-1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq), , ,303.15, ,11.9, , , , , , , , , , 
 _-glucosidase, 2-methyl-2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-2-propanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_924,277.15, ,45, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, 2-methyl-2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-2-propanol(aq) + D-glucose(aq), , ,303.15, ,57, , , , , , , , , , 
 _-glucosidase, 1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-propanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_925,277.15, ,8.92, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
